datetime,Ce_pvpc_eur_MWh,Ce_spot_market_price_eur_MWh
2021-12-31 23:00:00+00:00,204.51,145.86
2022-01-01 00:00:00+00:00,171.35,114.9
2022-01-01 01:00:00+00:00,172.7,113.87
2022-01-01 02:00:00+00:00,156.07,97.8
2022-01-01 03:00:00+00:00,159.08,97.8
2022-01-01 04:00:00+00:00,157.28,95.74
2022-01-01 05:00:00+00:00,158.87,97.8
2022-01-01 06:00:00+00:00,157.58,97.8
2022-01-01 07:00:00+00:00,156.18,97.8
2022-01-01 08:00:00+00:00,118.96,70.05
2022-01-01 09:00:00+00:00,122.06,76.79
2022-01-01 10:00:00+00:00,127.97,84.1
2022-01-01 11:00:00+00:00,139.9,94.74
2022-01-01 12:00:00+00:00,141.95,96.8
2022-01-01 13:00:00+00:00,143.48,97.8
2022-01-01 14:00:00+00:00,147.69,98.52
2022-01-01 15:00:00+00:00,172.14,114.5
2022-01-01 16:00:00+00:00,212.24,149.97
2022-01-01 17:00:00+00:00,240.74,177.22
2022-01-01 18:00:00+00:00,244.33,187.52
2022-01-01 19:00:00+00:00,247.11,189.26
2022-01-01 20:00:00+00:00,248.38,190.81
2022-01-01 21:00:00+00:00,248.88,188.39
2022-01-01 22:00:00+00:00,229.1,167.26
2022-01-01 23:00:00+00:00,186.21,133.21
2022-01-02 00:00:00+00:00,168.59,115.87
2022-01-02 01:00:00+00:00,164.36,110.52
2022-01-02 02:00:00+00:00,168.8,113.0
2022-01-02 03:00:00+00:00,173.15,115.87
2022-01-02 04:00:00+00:00,167.53,110.52
2022-01-02 05:00:00+00:00,170.81,115.87
2022-01-02 06:00:00+00:00,183.78,129.6
2022-01-02 07:00:00+00:00,165.48,115.87
2022-01-02 08:00:00+00:00,160.64,115.87
2022-01-02 09:00:00+00:00,153.62,113.0
2022-01-02 10:00:00+00:00,141.37,103.7
2022-01-02 11:00:00+00:00,141.13,103.7
2022-01-02 12:00:00+00:00,147.85,110.52
2022-01-02 13:00:00+00:00,154.49,115.87
2022-01-02 14:00:00+00:00,148.14,109.5
2022-01-02 15:00:00+00:00,159.93,115.87
2022-01-02 16:00:00+00:00,210.37,159.79
2022-01-02 17:00:00+00:00,252.85,194.25
2022-01-02 18:00:00+00:00,255.34,198.0
