,G_Gh,G_Dh,G_Gk,G_Bn,Tamb_C,HR_pct, hs, Az,precip_mm, Td,Ce_pvpc_eur_MWh,Ce_spot_market_price_eur_MWh,Pth_kW,Tv_C
2022-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,10.7,90.0,0.0,-144.0,6.7,9.1,171.35,114.9,200.0,35.0
2022-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,11.6,82.0,0.0,-163.4,0.5,8.7,172.7,113.87,200.0,35.0
2022-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,11.3,82.0,0.0,-124.4,0.5,8.4,156.07,97.8,200.0,35.0
2022-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,11.2,82.0,0.0,-105.4,0.3,8.3,159.08,97.8,200.0,35.0
2022-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,11.0,82.0,0.0,-93.6,0.2,8.1,157.28,95.74,200.0,35.0
2022-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,10.9,70.0,0.0,-85.0,0.0,5.6,158.87,97.8,200.0,35.0
2022-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,10.8,82.0,0.0,-76.5,0.2,7.9,157.58,97.8,200.0,35.0
2022-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,10.7,76.0,0.0,-68.5,0.0,6.7,156.18,97.8,200.0,35.0
2022-01-01 08:00:00+00:00,3.0,3.0,2.0,0.0,10.8,76.0,0.4,-60.1,0.0,6.7,118.96,70.05,100.0,35.0
2022-01-01 09:00:00+00:00,73.0,67.0,89.0,34.0,11.6,82.0,10.3,-50.3,0.1,8.6,122.06,76.79,100.0,35.0
2022-01-01 10:00:00+00:00,122.0,120.0,119.0,6.0,12.2,82.0,18.7,-39.1,0.2,9.2,127.97,84.1,100.0,35.0
2022-01-01 11:00:00+00:00,191.0,182.0,196.0,21.0,12.8,68.0,25.2,-26.0,0.0,7.1,139.9,94.74,100.0,35.0
2022-01-01 12:00:00+00:00,194.0,189.0,190.0,10.0,13.2,68.0,29.0,-11.1,0.0,7.5,141.95,96.8,100.0,35.0
2022-01-01 13:00:00+00:00,179.0,176.0,171.0,6.0,13.4,67.0,29.7,4.4,0.1,7.4,143.48,97.8,100.0,35.0
2022-01-01 14:00:00+00:00,90.0,90.0,79.0,0.0,13.2,70.0,27.1,20.1,0.1,7.8,147.69,98.52,100.0,35.0
2022-01-01 15:00:00+00:00,77.0,77.0,67.0,0.0,13.0,82.0,21.7,34.0,0.4,10.0,172.14,114.5,100.0,35.0
2022-01-01 16:00:00+00:00,53.0,53.0,45.0,0.0,12.6,82.0,14.0,46.0,0.8,9.7,212.24,149.97,100.0,35.0
2022-01-01 17:00:00+00:00,4.0,4.0,2.0,0.0,12.2,86.0,4.6,56.2,1.6,9.9,240.74,177.22,100.0,35.0
2022-01-01 18:00:00+00:00,0.0,0.0,0.0,0.0,11.4,86.0,0.0,65.2,3.2,9.2,244.33,187.52,200.0,35.0
2022-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,11.4,86.0,0.0,73.4,1.0,9.2,247.11,189.26,200.0,35.0
2022-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,10.7,86.0,0.0,81.4,2.2,8.5,248.38,190.81,200.0,35.0
2022-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,10.4,86.0,0.0,90.1,1.3,8.2,248.88,188.39,200.0,35.0
2022-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,10.1,82.0,0.0,100.2,0.7,7.2,229.1,167.26,200.0,35.0
