datetime,Ce_pvpc_eur_MWh,Ce_spot_market_price_eur_MWh,Ce_pvpc_eur_kWh,Ce_spot_market_price_eur_kWh
2021-12-31 23:00:00+00:00,204.51,145.86,0.20451,0.14586000000000002
2022-01-01 00:00:00+00:00,171.35,114.9,0.17135,0.1149
2022-01-01 01:00:00+00:00,172.7,113.87,0.1727,0.11387000000000001
2022-01-01 02:00:00+00:00,156.07,97.8,0.15607,0.0978
2022-01-01 03:00:00+00:00,159.08,97.8,0.15908000000000003,0.0978
2022-01-01 04:00:00+00:00,157.28,95.74,0.15728,0.09573999999999999
2022-01-01 05:00:00+00:00,158.87,97.8,0.15887,0.0978
2022-01-01 06:00:00+00:00,157.58,97.8,0.15758000000000003,0.0978
2022-01-01 07:00:00+00:00,156.18,97.8,0.15618,0.0978
2022-01-01 08:00:00+00:00,118.96,70.05,0.11896,0.07005
2022-01-01 09:00:00+00:00,122.06,76.79,0.12206,0.07679000000000001
2022-01-01 10:00:00+00:00,127.97,84.1,0.12797,0.0841
2022-01-01 11:00:00+00:00,139.9,94.74,0.1399,0.09473999999999999
2022-01-01 12:00:00+00:00,141.95,96.8,0.14195,0.0968
2022-01-01 13:00:00+00:00,143.48,97.8,0.14348,0.0978
2022-01-01 14:00:00+00:00,147.69,98.52,0.14769,0.09852
2022-01-01 15:00:00+00:00,172.14,114.5,0.17214,0.1145
2022-01-01 16:00:00+00:00,212.24,149.97,0.21224,0.14997
2022-01-01 17:00:00+00:00,240.74,177.22,0.24074,0.17722000000000002
2022-01-01 18:00:00+00:00,244.33,187.52,0.24433000000000002,0.18752000000000002
2022-01-01 19:00:00+00:00,247.11,189.26,0.24711000000000002,0.18925999999999998
2022-01-01 20:00:00+00:00,248.38,190.81,0.24838,0.19081
2022-01-01 21:00:00+00:00,248.88,188.39,0.24888,0.18839
2022-01-01 22:00:00+00:00,229.1,167.26,0.2291,0.16726
2022-01-01 23:00:00+00:00,186.21,133.21,0.18621000000000001,0.13321000000000002
2022-01-02 00:00:00+00:00,168.59,115.87,0.16859000000000002,0.11587
2022-01-02 01:00:00+00:00,164.36,110.52,0.16436,0.11052
2022-01-02 02:00:00+00:00,168.8,113.0,0.1688,0.113
2022-01-02 03:00:00+00:00,173.15,115.87,0.17315,0.11587
2022-01-02 04:00:00+00:00,167.53,110.52,0.16753,0.11052
2022-01-02 05:00:00+00:00,170.81,115.87,0.17081000000000002,0.11587
2022-01-02 06:00:00+00:00,183.78,129.6,0.18378,0.1296
2022-01-02 07:00:00+00:00,165.48,115.87,0.16548,0.11587
2022-01-02 08:00:00+00:00,160.64,115.87,0.16063999999999998,0.11587
2022-01-02 09:00:00+00:00,153.62,113.0,0.15362,0.113
2022-01-02 10:00:00+00:00,141.37,103.7,0.14137,0.1037
2022-01-02 11:00:00+00:00,141.13,103.7,0.14113,0.1037
2022-01-02 12:00:00+00:00,147.85,110.52,0.14785,0.11052
2022-01-02 13:00:00+00:00,154.49,115.87,0.15449000000000002,0.11587
2022-01-02 14:00:00+00:00,148.14,109.5,0.14814,0.1095
2022-01-02 15:00:00+00:00,159.93,115.87,0.15993000000000002,0.11587
2022-01-02 16:00:00+00:00,210.37,159.79,0.21037,0.15979
