date,Q_kW,Tv_C,mv_kgh
2005-01-01 05:00:00,0,0,0
2005-01-01 06:00:00,0,0,0
2005-01-01 07:00:00,0,0,0
2005-01-01 08:00:00,0,0,0
2005-01-01 09:00:00,0,0,0
2005-01-01 10:00:00,55601.0478527119,33,82620
2005-01-01 11:00:00,83475.647830777,38.7,124740
2005-01-01 12:00:00,62204.4418532735,34.36,92556
2005-01-01 13:00:00,48475.976643208,31.52,71928
2005-01-01 14:00:00,50157.1181482913,31.87,74448
2005-01-01 15:00:00,62133.0815289079,34.34,92448
2005-01-01 16:00:00,71505.5291748224,36.27,106596
2005-01-01 17:00:00,0,0,0
2005-01-01 18:00:00,0,0,0
2005-01-01 19:00:00,0,0,0
2005-01-01 20:00:00,0,0,0
2005-01-01 21:00:00,0,0,0
2005-01-01 22:00:00,0,0,0
2005-01-01 23:00:00,0,0,0
2005-01-01 00:00:00,0,0,0
2005-01-02 01:00:00,0,0,0
2005-01-02 02:00:00,0,0,0
2005-01-02 03:00:00,0,0,0
2005-01-02 04:00:00,0,0,0
2005-01-02 05:00:00,0,0,0
2005-01-02 06:00:00,0,0,0
2005-01-02 07:00:00,0,0,0
2005-01-02 08:00:00,0,0,0
2005-01-02 09:00:00,0,0,0
2005-01-02 10:00:00,0,0,0
2005-01-02 11:00:00,0,0,0
2005-01-02 12:00:00,0,0,0
2005-01-02 13:00:00,0,0,0
2005-01-02 14:00:00,0,0,0
2005-01-02 15:00:00,0,0,0
2005-01-02 16:00:00,0,0,0
2005-01-02 17:00:00,0,0,0
2005-01-02 18:00:00,0,0,0
2005-01-02 19:00:00,0,0,0
2005-01-02 20:00:00,0,0,0
2005-01-02 21:00:00,0,0,0
2005-01-02 22:00:00,0,0,0
2005-01-02 23:00:00,0,0,0
2005-01-03 00:00:00,0,0,0
2005-01-03 01:00:00,0,0,0
2005-01-03 02:00:00,0,0,0
2005-01-03 03:00:00,0,0,0
2005-01-03 04:00:00,0,0,0
2005-01-03 05:00:00,0,0,0
2005-01-03 06:00:00,0,0,0
2005-01-03 07:00:00,0,0,0
2005-01-03 08:00:00,0,0,0
2005-01-03 09:00:00,0,0,0
2005-01-03 10:00:00,64258.5912150311,34.78,95652
2005-01-03 11:00:00,91070.3794310948,40.23,136296
2005-01-03 12:00:00,71862.7962571646,36.34,107136
2005-01-03 13:00:00,58163.0316642602,33.53,86472
2005-01-03 14:00:00,60698.7002535794,34.05,90288
2005-01-03 15:00:00,76428.7959201535,37.27,114048
2005-01-03 16:00:00,90337.2668084055,40.09,135180
2005-01-03 17:00:00,82148.54019539,38.43,122724
2005-01-03 18:00:00,0,0,0
2005-01-03 19:00:00,0,0,0
2005-01-03 20:00:00,0,0,0
