,Q_kW,Tv_C,mv_kgh
2022-01-01 00:00:00+00:00,0.0,0.0,0.0
2022-01-01 01:00:00+00:00,0.0,0.0,0.0
2022-01-01 02:00:00+00:00,0.0,0.0,0.0
2022-01-01 03:00:00+00:00,0.0,0.0,0.0
2022-01-01 04:00:00+00:00,0.0,0.0,0.0
2022-01-01 05:00:00+00:00,0.0,0.0,0.0
2022-01-01 06:00:00+00:00,0.0,0.0,0.0
2022-01-01 07:00:00+00:00,0.0,0.0,0.0
2022-01-01 08:00:00+00:00,0.0,0.0,0.0
2022-01-01 09:00:00+00:00,0.0,0.0,0.0
2022-01-01 10:00:00+00:00,129.806171322333,33.0,192.8846
2022-01-01 11:00:00+00:00,179.093341912726,38.7,267.6242
2022-01-01 12:00:00+00:00,141.481891340096,34.36,210.51548
2022-01-01 13:00:00+00:00,117.208398456901,31.52,173.91224
2022-01-01 14:00:00+00:00,120.180788451347,31.87,178.38384
2022-01-01 15:00:00+00:00,141.35587896107,34.34,210.32384
2022-01-01 16:00:00+00:00,157.927617793631,36.27,235.42868
2022-01-01 17:00:00+00:00,0.0,0.0,0.0
2022-01-01 18:00:00+00:00,0.0,0.0,0.0
2022-01-01 19:00:00+00:00,0.0,0.0,0.0
2022-01-01 20:00:00+00:00,0.0,0.0,0.0
2022-01-01 21:00:00+00:00,0.0,0.0,0.0
2022-01-01 22:00:00+00:00,0.0,0.0,0.0
2022-01-01 23:00:00+00:00,0.0,0.0,0.0
2022-01-02 00:00:00+00:00,0.0,0.0,0.0
2022-01-02 01:00:00+00:00,0.0,0.0,0.0
2022-01-02 02:00:00+00:00,0.0,0.0,0.0
2022-01-02 03:00:00+00:00,0.0,0.0,0.0
2022-01-02 04:00:00+00:00,0.0,0.0,0.0
2022-01-02 05:00:00+00:00,0.0,0.0,0.0
2022-01-02 06:00:00+00:00,0.0,0.0,0.0
2022-01-02 07:00:00+00:00,0.0,0.0,0.0
2022-01-02 08:00:00+00:00,0.0,0.0,0.0
2022-01-02 09:00:00+00:00,0.0,0.0,0.0
2022-01-02 10:00:00+00:00,0.0,0.0,0.0
2022-01-02 11:00:00+00:00,0.0,0.0,0.0
2022-01-02 12:00:00+00:00,0.0,0.0,0.0
2022-01-02 13:00:00+00:00,0.0,0.0,0.0
2022-01-02 14:00:00+00:00,0.0,0.0,0.0
2022-01-02 15:00:00+00:00,0.0,0.0,0.0
2022-01-02 16:00:00+00:00,0.0,0.0,0.0
2022-01-02 17:00:00+00:00,0.0,0.0,0.0
2022-01-02 18:00:00+00:00,0.0,0.0,0.0
2022-01-02 19:00:00+00:00,0.0,0.0,0.0
2022-01-02 20:00:00+00:00,0.0,0.0,0.0
2022-01-02 21:00:00+00:00,0.0,0.0,0.0
2022-01-02 22:00:00+00:00,0.0,0.0,0.0
2022-01-02 23:00:00+00:00,0.0,0.0,0.0
2022-01-03 00:00:00+00:00,0.0,0.0,0.0
2022-01-03 01:00:00+00:00,0.0,0.0,0.0
2022-01-03 02:00:00+00:00,0.0,0.0,0.0
2022-01-03 03:00:00+00:00,0.0,0.0,0.0
2022-01-03 04:00:00+00:00,0.0,0.0,0.0
2022-01-03 05:00:00+00:00,0.0,0.0,0.0
2022-01-03 06:00:00+00:00,0.0,0.0,0.0
2022-01-03 07:00:00+00:00,0.0,0.0,0.0
2022-01-03 08:00:00+00:00,0.0,0.0,0.0
2022-01-03 09:00:00+00:00,0.0,0.0,0.0
2022-01-03 10:00:00+00:00,145.11399982376,34.78,216.00916
2022-01-03 11:00:00+00:00,192.522739353759,40.23,288.12968
2022-01-03 12:00:00+00:00,158.559421625848,36.34,236.38688
2022-01-03 13:00:00+00:00,134.336047794181,33.53,199.71976
2022-01-03 14:00:00+00:00,138.819530192383,34.05,206.49104
2022-01-03 15:00:00+00:00,166.633003073536,37.27,248.65184
2022-01-03 16:00:00+00:00,191.226177651022,40.09,286.1494
2022-01-03 17:00:00+00:00,176.746757122396,38.43,264.04692
2022-01-03 18:00:00+00:00,0.0,0.0,0.0
2022-01-03 19:00:00+00:00,0.0,0.0,0.0
2022-01-03 20:00:00+00:00,0.0,0.0,0.0
2022-01-03 21:00:00+00:00,0.0,0.0,0.0
2022-01-03 22:00:00+00:00,0.0,0.0,0.0
2022-01-03 23:00:00+00:00,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,0.0,0.0,0.0
2022-01-04 01:00:00+00:00,0.0,0.0,0.0
2022-01-04 02:00:00+00:00,0.0,0.0,0.0
