time,G_Gh,G_Dh,G_Gk,G_Bn,Tamb_C,HR_pct, hs, Az,precip_mm, Td
2005-01-01 00:00:00+00:00,0,0,0,0,13.3,84,0.0,-142.6,0.5,10.7
2005-01-01 01:00:00+00:00,0,0,0,0,13.2,72,0.0,-107.2,0.0,8.2
2005-01-01 02:00:00+00:00,0,0,0,0,13.0,74,0.0,-94.4,0.0,8.4
2005-01-01 03:00:00+00:00,0,0,0,0,12.9,77,0.0,-86.5,0.0,8.9
2005-01-01 04:00:00+00:00,0,0,0,0,12.8,81,0.0,-80.1,0.0,9.7
2005-01-01 05:00:00+00:00,0,0,0,0,12.8,80,0.0,-73.5,0.0,9.3
2005-01-01 06:00:00+00:00,0,0,0,0,12.7,81,0.0,-67.0,0.0,9.6
2005-01-01 07:00:00+00:00,13,13,10,0,13.2,77,4.9,-59.2,0.0,9.2
2005-01-01 08:00:00+00:00,48,48,43,0,13.7,76,15.4,-50.2,0.0,9.6
2005-01-01 09:00:00+00:00,349,154,539,472,16.9,63,24.5,-39.1,0.0,9.9
2005-01-01 10:00:00+00:00,463,152,712,596,18.8,52,31.4,-25.4,0.0,8.9
2005-01-01 11:00:00+00:00,524,182,777,590,20.4,47,35.4,-9.5,0.0,8.7
2005-01-01 12:00:00+00:00,396,272,504,213,21.0,44,35.7,7.1,0.0,8.2
2005-01-01 13:00:00+00:00,405,222,560,342,21.4,44,32.3,23.2,0.0,8.7
2005-01-01 14:00:00+00:00,279,214,356,151,21.2,44,25.8,37.1,0.0,8.4
2005-01-01 15:00:00+00:00,173,133,233,136,20.6,46,17.0,48.4,0.0,8.6
2005-01-01 16:00:00+00:00,44,41,52,23,19.6,47,6.7,58.0,0.1,8.2
2005-01-01 17:00:00+00:00,0,0,0,0,18.6,55,0.0,65.5,0.0,9.5
2005-01-01 18:00:00+00:00,0,0,0,0,18.0,59,0.0,72.4,0.0,9.9
2005-01-01 19:00:00+00:00,0,0,0,0,17.3,64,0.0,79.1,0.0,10.4
2005-01-01 20:00:00+00:00,0,0,0,0,16.8,67,0.0,85.4,0.0,10.6
2005-01-01 21:00:00+00:00,0,0,0,0,16.1,72,0.0,93.2,0.0,11.1
2005-01-01 22:00:00+00:00,0,0,0,0,15.4,73,0.0,104.4,0.0,10.6
2005-01-01 23:00:00+00:00,0,0,0,0,14.6,73,0.0,133.2,0.0,9.9
2005-01-02 00:00:00+00:00,0,0,0,0,13.7,79,0.0,-143.4,0.0,10.1
2005-01-02 01:00:00+00:00,0,0,0,0,12.7,81,0.0,-107.4,0.0,9.6
2005-01-02 02:00:00+00:00,0,0,0,0,11.7,83,0.0,-94.5,0.0,9.0
2005-01-02 03:00:00+00:00,0,0,0,0,11.2,83,0.0,-86.6,0.0,8.4
2005-01-02 04:00:00+00:00,0,0,0,0,10.6,87,0.0,-80.2,0.0,8.5
2005-01-02 05:00:00+00:00,0,0,0,0,10.3,94,0.0,-73.5,0.0,9.4
2005-01-02 06:00:00+00:00,0,0,0,0,9.9,98,0.0,-67.1,0.0,9.5
2005-01-02 07:00:00+00:00,22,22,19,0,10.4,94,4.9,-59.3,0.0,9.5
2005-01-02 08:00:00+00:00,203,98,348,396,12.7,84,15.4,-50.3,0.0,10.2
2005-01-02 09:00:00+00:00,370,88,620,682,15.0,78,24.5,-39.2,0.0,11.1
2005-01-02 10:00:00+00:00,483,112,763,710,16.8,63,31.5,-25.5,0.0,9.6
2005-01-02 11:00:00+00:00,556,117,861,756,17.9,60,35.4,-9.6,0.0,10.0
2005-01-02 12:00:00+00:00,569,107,880,790,18.8,56,35.8,7.0,0.0,9.8
2005-01-02 13:00:00+00:00,511,106,806,755,19.2,53,32.4,23.1,0.0,9.5
2005-01-02 14:00:00+00:00,415,71,693,787,19.2,53,25.9,37.1,0.0,9.4
2005-01-02 15:00:00+00:00,243,73,443,578,18.5,52,17.1,48.4,0.0,8.4
2005-01-02 16:00:00+00:00,81,38,197,357,17.3,57,6.8,58.0,0.0,8.8
2005-01-02 17:00:00+00:00,0,0,0,0,16.1,62,0.0,65.5,0.0,8.9
2005-01-02 18:00:00+00:00,0,0,0,0,15.3,69,0.0,72.5,0.0,9.7
2005-01-02 19:00:00+00:00,0,0,0,0,14.6,67,0.0,79.1,0.0,8.5
2005-01-02 20:00:00+00:00,0,0,0,0,13.9,71,0.0,85.4,0.0,8.8
2005-01-02 21:00:00+00:00,0,0,0,0,13.1,74,0.0,93.2,0.0,8.7
2005-01-02 22:00:00+00:00,0,0,0,0,12.4,77,0.0,104.4,0.0,8.4
2005-01-02 23:00:00+00:00,0,0,0,0,11.7,79,0.0,133.1,0.0,8.2
2005-01-03 00:00:00+00:00,0,0,0,0,11.2,84,0.0,-144.3,0.0,8.6
2005-01-03 01:00:00+00:00,0,0,0,0,10.8,88,0.0,-108.0,0.0,8.9
2005-01-03 02:00:00+00:00,0,0,0,0,10.3,84,0.0,-95.1,0.0,7.7
2005-01-03 03:00:00+00:00,0,0,0,0,10.1,89,0.0,-87.1,0.0,8.3
2005-01-03 04:00:00+00:00,0,0,0,0,9.9,88,0.0,-80.3,0.0,7.9
2005-01-03 05:00:00+00:00,0,0,0,0,9.7,87,0.0,-74.0,0.0,7.7
2005-01-03 06:00:00+00:00,0,0,0,0,9.6,89,0.0,-67.2,0.0,7.8
2005-01-03 07:00:00+00:00,21,21,18,0,10.2,84,4.8,-59.4,0.0,7.6
2005-01-03 08:00:00+00:00,217,102,373,434,13.1,74,15.4,-50.3,0.0,8.6
2005-01-03 09:00:00+00:00,379,76,638,732,15.7,64,24.5,-39.3,0.0,9.0
2005-01-03 10:00:00+00:00,511,79,817,827,17.7,54,31.5,-25.6,0.0,8.3
2005-01-03 11:00:00+00:00,573,96,890,821,19.2,48,35.5,-10.1,0.0,8.0
2005-01-03 12:00:00+00:00,577,100,893,813,20.2,46,35.9,6.6,0.0,8.4
2005-01-03 13:00:00+00:00,530,79,843,840,20.7,48,32.5,23.1,0.0,9.4
2005-01-03 14:00:00+00:00,408,78,678,754,20.8,49,26.0,37.1,0.0,9.7
2005-01-03 15:00:00+00:00,258,64,478,653,20.1,50,17.3,48.4,0.0,9.4
2005-01-03 16:00:00+00:00,90,40,219,408,18.8,54,6.9,58.0,0.0,9.4
2005-01-03 17:00:00+00:00,0,0,0,0,17.4,59,0.0,65.5,0.0,9.3
2005-01-03 18:00:00+00:00,0,0,0,0,16.8,66,0.0,72.5,0.0,10.4
2005-01-03 19:00:00+00:00,0,0,0,0,16.0,68,0.0,79.1,0.0,10.2
2005-01-03 20:00:00+00:00,0,0,0,0,15.3,71,0.0,85.5,0.0,10.0
2005-01-03 21:00:00+00:00,0,0,0,0,14.5,73,0.0,93.2,0.0,9.7
2005-01-03 22:00:00+00:00,0,0,0,0,13.7,74,0.0,104.5,0.0,9.1
2005-01-03 23:00:00+00:00,0,0,0,0,12.9,81,0.0,133.1,0.0,9.7
2005-01-04 00:00:00+00:00,0,0,0,0,12.1,81,0.0,-145.2,0.0,9.0
2005-01-04 01:00:00+00:00,0,0,0,0,11.2,85,0.0,-108.2,0.0,8.8
2005-01-04 02:00:00+00:00,0,0,0,0,10.3,87,0.0,-95.2,0.0,8.2
2005-01-04 03:00:00+00:00,0,0,0,0,9.9,90,0.0,-87.2,0.0,8.3
2005-01-04 04:00:00+00:00,0,0,0,0,9.4,91,0.0,-80.4,0.0,8.1
2005-01-04 05:00:00+00:00,0,0,0,0,9.1,93,0.0,-74.1,0.0,8.0
2005-01-04 06:00:00+00:00,0,0,0,0,8.8,96,0.0,-67.2,0.0,8.1
2005-01-04 07:00:00+00:00,20,20,17,0,9.3,92,4.8,-59.5,0.0,8.1
2005-01-04 08:00:00+00:00,188,104,301,315,11.5,85,15.4,-50.4,0.0,9.1
2005-01-04 09:00:00+00:00,340,130,534,505,13.6,79,24.5,-39.4,0.0,10.0
2005-01-04 10:00:00+00:00,409,207,574,385,15.1,69,31.6,-26.1,0.0,9.4
2005-01-04 11:00:00+00:00,525,168,789,612,16.6,68,35.6,-10.1,0.0,10.7
2005-01-04 12:00:00+00:00,530,168,796,615,17.4,64,36.0,6.5,0.0,10.5
2005-01-04 13:00:00+00:00,482,157,734,601,17.8,62,32.6,23.0,0.0,10.4
2005-01-04 14:00:00+00:00,391,104,637,651,17.9,61,26.2,37.1,0.0,10.3
2005-01-04 15:00:00+00:00,236,91,407,488,17.3,67,17.4,48.4,0.0,11.2
2005-01-04 16:00:00+00:00,96,50,217,373,16.3,72,7.1,58.0,0.0,11.3
2005-01-04 17:00:00+00:00,0,0,0,0,14.9,80,0.0,65.6,0.0,11.5
2005-01-04 18:00:00+00:00,0,0,0,0,14.1,87,0.0,72.5,0.0,12.0
2005-01-04 19:00:00+00:00,0,0,0,0,13.4,89,0.0,79.2,0.0,11.6
2005-01-04 20:00:00+00:00,0,0,0,0,12.6,86,0.0,85.5,0.0,10.4
2005-01-04 21:00:00+00:00,0,0,0,0,11.8,87,0.0,93.3,0.0,9.8
2005-01-04 22:00:00+00:00,0,0,0,0,11.1,89,0.0,104.6,0.0,9.2
2005-01-04 23:00:00+00:00,0,0,0,0,10.3,90,0.0,133.1,0.0,8.7
2005-01-05 00:00:00+00:00,0,0,0,0,9.7,91,0.0,-146.1,0.0,8.3
2005-01-05 01:00:00+00:00,0,0,0,0,9.2,94,0.0,-108.5,0.0,8.3
2005-01-05 02:00:00+00:00,0,0,0,0,8.6,97,0.0,-95.4,0.0,8.2
2005-01-05 03:00:00+00:00,0,0,0,0,8.3,96,0.0,-87.3,0.0,7.7
2005-01-05 04:00:00+00:00,0,0,0,0,8.0,97,0.0,-80.4,0.0,7.6
2005-01-05 05:00:00+00:00,0,0,0,0,7.8,100,0.0,-74.2,0.0,7.8
2005-01-05 06:00:00+00:00,0,0,0,0,7.6,99,0.0,-67.3,0.0,7.5
2005-01-05 07:00:00+00:00,21,21,19,0,8.2,100,4.8,-59.5,0.0,8.2
2005-01-05 08:00:00+00:00,193,102,321,340,10.6,91,15.4,-50.5,0.0,9.3
2005-01-05 09:00:00+00:00,343,119,545,538,12.9,82,24.6,-39.5,0.0,9.8
2005-01-05 10:00:00+00:00,466,133,724,636,14.9,71,31.6,-26.2,0.0,9.7
2005-01-05 11:00:00+00:00,541,149,822,672,16.5,66,35.7,-10.2,0.0,10.2
2005-01-05 12:00:00+00:00,536,152,812,652,17.4,63,36.1,6.4,0.0,10.3
2005-01-05 13:00:00+00:00,525,121,818,745,18.0,61,32.8,23.0,0.0,10.4
2005-01-05 14:00:00+00:00,397,99,647,671,18.0,63,26.3,37.0,0.0,10.8
2005-01-05 15:00:00+00:00,249,79,446,567,17.4,64,17.5,48.4,0.0,10.6
2005-01-05 16:00:00+00:00,75,40,170,285,16.2,68,7.2,58.0,0.0,10.3
2005-01-05 17:00:00+00:00,0,0,0,0,14.7,74,0.0,65.6,0.0,10.1
2005-01-05 18:00:00+00:00,0,0,0,0,14.0,81,0.0,72.5,0.0,10.9
2005-01-05 19:00:00+00:00,0,0,0,0,13.4,83,0.0,79.2,0.0,10.6
2005-01-05 20:00:00+00:00,0,0,0,0,12.7,88,0.0,85.6,0.0,10.8
2005-01-05 21:00:00+00:00,0,0,0,0,12.1,92,0.0,93.4,0.0,10.7
2005-01-05 22:00:00+00:00,0,0,0,0,11.4,96,0.0,105.0,0.0,10.8
2005-01-05 23:00:00+00:00,0,0,0,0,10.8,100,0.0,133.0,0.0,10.8
2005-01-06 00:00:00+00:00,0,0,0,0,10.2,100,0.0,-146.6,0.0,10.2
2005-01-06 01:00:00+00:00,0,0,0,0,9.6,100,0.0,-109.1,0.0,9.6
2005-01-06 02:00:00+00:00,0,0,0,0,8.9,100,0.0,-95.5,0.0,8.9
2005-01-06 03:00:00+00:00,0,0,0,0,8.6,100,0.0,-87.4,0.0,8.6
2005-01-06 04:00:00+00:00,0,0,0,0,8.3,100,0.0,-80.5,0.0,8.3
2005-01-06 05:00:00+00:00,0,0,0,0,8.1,100,0.0,-74.3,0.0,8.1
2005-01-06 06:00:00+00:00,0,0,0,0,7.9,100,0.0,-67.4,0.0,7.9
2005-01-06 07:00:00+00:00,19,19,16,0,8.4,100,4.8,-60.0,0.0,8.4
2005-01-06 08:00:00+00:00,130,109,159,77,10.0,100,15.4,-51.0,0.0,10.0
2005-01-06 09:00:00+00:00,272,203,350,165,11.9,95,24.6,-39.6,0.0,11.1
2005-01-06 10:00:00+00:00,386,217,531,322,13.6,86,31.7,-26.3,0.0,11.4
2005-01-06 11:00:00+00:00,449,244,611,350,15.0,83,35.8,-10.3,0.0,12.2
2005-01-06 12:00:00+00:00,416,273,532,242,15.8,75,36.2,6.4,0.0,11.4
2005-01-06 13:00:00+00:00,499,176,744,594,16.7,66,32.9,22.6,0.0,10.3
2005-01-06 14:00:00+00:00,442,89,724,792,17.1,60,26.5,37.0,0.0,9.4
2005-01-06 15:00:00+00:00,270,71,490,654,16.8,59,17.7,48.4,0.0,8.8
2005-01-06 16:00:00+00:00,94,45,217,387,15.7,64,7.4,58.1,0.0,9.0
2005-01-06 17:00:00+00:00,0,0,0,0,14.3,66,0.0,66.0,0.0,8.0
2005-01-06 18:00:00+00:00,0,0,0,0,13.7,72,0.0,72.6,0.0,8.7
2005-01-06 19:00:00+00:00,0,0,0,0,13.1,74,0.0,79.2,0.0,8.5
2005-01-06 20:00:00+00:00,0,0,0,0,12.4,76,0.0,86.0,0.0,8.2
2005-01-06 21:00:00+00:00,0,0,0,0,11.8,78,0.0,93.4,0.0,8.2
2005-01-06 22:00:00+00:00,0,0,0,0,11.2,82,0.0,105.1,0.0,8.2
2005-01-06 23:00:00+00:00,0,0,0,0,10.6,86,0.0,133.0,0.0,8.3
2005-01-07 00:00:00+00:00,0,0,0,0,10.0,84,0.0,-147.5,0.0,7.4
2005-01-07 01:00:00+00:00,0,0,0,0,9.5,86,0.0,-109.4,0.0,7.2
2005-01-07 02:00:00+00:00,0,0,0,0,8.9,88,0.0,-96.1,0.0,7.1
2005-01-07 03:00:00+00:00,0,0,0,0,8.7,88,0.0,-87.5,0.0,6.8
2005-01-07 04:00:00+00:00,0,0,0,0,8.4,93,0.0,-81.0,0.0,7.4
2005-01-07 05:00:00+00:00,0,0,0,0,8.2,96,0.0,-74.4,0.0,7.6
2005-01-07 06:00:00+00:00,0,0,0,0,8.0,98,0.0,-67.5,0.0,7.8
2005-01-07 07:00:00+00:00,24,24,22,0,8.7,98,4.8,-60.1,0.0,8.4
2005-01-07 08:00:00+00:00,200,99,338,380,11.2,87,15.4,-51.1,0.0,9.0
2005-01-07 09:00:00+00:00,337,127,529,504,13.3,75,24.6,-40.1,0.0,8.9
2005-01-07 10:00:00+00:00,474,138,731,638,15.3,65,31.7,-26.4,0.0,8.8
2005-01-07 11:00:00+00:00,507,216,731,497,16.7,56,35.9,-10.4,0.0,7.9
2005-01-07 12:00:00+00:00,424,284,540,237,17.2,50,36.3,6.3,0.0,6.8
2005-01-07 13:00:00+00:00,384,284,483,184,17.2,50,33.1,22.5,0.0,6.6
2005-01-07 14:00:00+00:00,355,158,535,439,17.3,49,26.6,37.0,0.0,6.6
2005-01-07 15:00:00+00:00,214,113,331,328,16.8,53,17.8,48.4,0.0,7.1
2005-01-07 16:00:00+00:00,49,46,57,20,15.5,55,7.5,58.1,0.0,6.4
2005-01-07 17:00:00+00:00,0,0,0,0,14.2,56,0.0,66.0,0.0,5.6
2005-01-07 18:00:00+00:00,0,0,0,0,13.4,62,0.0,73.0,0.0,6.4
2005-01-07 19:00:00+00:00,0,0,0,0,12.6,63,0.0,79.3,0.0,5.8
2005-01-07 20:00:00+00:00,0,0,0,0,11.9,64,0.0,86.1,0.0,5.2
2005-01-07 21:00:00+00:00,0,0,0,0,11.1,67,0.0,93.5,0.0,5.2
2005-01-07 22:00:00+00:00,0,0,0,0,10.3,69,0.0,105.2,0.0,4.9
2005-01-07 23:00:00+00:00,0,0,0,0,9.5,71,0.0,133.1,0.0,4.6
2005-01-08 00:00:00+00:00,0,0,0,0,8.8,74,0.0,-148.4,0.0,4.4
2005-01-08 01:00:00+00:00,0,0,0,0,8.1,75,0.0,-110.1,0.0,4.0
2005-01-08 02:00:00+00:00,0,0,0,0,7.3,78,0.0,-96.3,0.0,3.7
2005-01-08 03:00:00+00:00,0,0,0,0,6.9,79,0.0,-88.0,0.0,3.5
2005-01-08 04:00:00+00:00,0,0,0,0,6.5,80,0.0,-81.2,0.0,3.4
2005-01-08 05:00:00+00:00,0,0,0,0,6.3,80,0.0,-74.5,0.0,3.1
2005-01-08 06:00:00+00:00,0,0,0,0,6.0,81,0.0,-67.6,0.0,3.0
2005-01-08 07:00:00+00:00,21,21,18,0,6.6,80,4.8,-60.2,0.0,3.3
2005-01-08 08:00:00+00:00,214,104,361,415,9.3,74,15.4,-51.2,0.0,4.8
2005-01-08 09:00:00+00:00,393,67,660,779,11.8,63,24.7,-40.2,0.0,5.1
2005-01-08 10:00:00+00:00,524,71,827,860,14.0,54,31.8,-26.5,0.0,4.8
