time,G_Gh,G_Dh,G_Gk,G_Bn,Tamb_C,HR_pct, hs, Az,precip_mm, Td
2005-01-01 00:00:00+00:00,0,0,0,0,6.9,69,0.0,-142.2,0.0,1.7
2005-01-01 01:00:00+00:00,0,0,0,0,6.1,69,0.0,-166.2,0.0,1.0
2005-01-01 02:00:00+00:00,0,0,0,0,5.3,74,0.0,-126.1,0.0,1.1
2005-01-01 03:00:00+00:00,0,0,0,0,4.9,78,0.0,-106.3,0.0,1.5
2005-01-01 04:00:00+00:00,0,0,0,0,4.5,84,0.0,-94.4,0.0,2.1
2005-01-01 05:00:00+00:00,0,0,0,0,4.1,84,0.0,-85.3,0.0,1.6
2005-01-01 06:00:00+00:00,0,0,0,0,3.8,87,0.0,-77.2,0.0,1.8
2005-01-01 07:00:00+00:00,0,0,0,0,3.5,86,0.0,-69.2,0.0,1.5
2005-01-01 08:00:00+00:00,3,3,2,0,3.6,87,0.0,-60.4,0.0,1.6
2005-01-01 09:00:00+00:00,135,39,361,568,5.7,77,9.8,-50.6,0.0,1.9
2005-01-01 10:00:00+00:00,293,47,619,785,8.1,66,18.3,-39.4,0.0,2.1
2005-01-01 11:00:00+00:00,412,53,791,854,10.1,53,24.8,-26.4,0.0,1.0
2005-01-01 12:00:00+00:00,473,65,868,848,11.7,46,28.8,-11.5,0.0,0.5
2005-01-01 13:00:00+00:00,484,70,878,836,12.8,44,29.6,3.6,0.0,1.0
2005-01-01 14:00:00+00:00,439,67,825,814,13.4,42,27.2,19.2,0.0,0.6
2005-01-01 15:00:00+00:00,341,62,680,749,13.4,42,21.9,33.2,0.0,0.8
2005-01-01 16:00:00+00:00,204,51,466,621,12.7,42,14.3,45.3,0.0,0.3
2005-01-01 17:00:00+00:00,24,24,20,0,11.2,49,5.0,55.5,0.0,0.7
2005-01-01 18:00:00+00:00,0,0,0,0,10.3,58,0.0,64.6,0.0,2.3
2005-01-01 19:00:00+00:00,0,0,0,0,9.4,63,0.0,73.2,0.0,2.7
2005-01-01 20:00:00+00:00,0,0,0,0,8.5,67,0.0,81.2,0.0,2.9
2005-01-01 21:00:00+00:00,0,0,0,0,7.6,74,0.0,89.5,0.0,3.3
2005-01-01 22:00:00+00:00,0,0,0,0,6.7,76,0.0,99.6,0.0,2.7
2005-01-01 23:00:00+00:00,0,0,0,0,5.8,76,0.0,114.4,0.0,1.9
2005-01-02 00:00:00+00:00,0,0,0,0,5.0,82,0.0,-142.2,0.0,2.2
2005-01-02 01:00:00+00:00,0,0,0,0,4.2,84,0.0,-166.4,0.0,1.7
2005-01-02 02:00:00+00:00,0,0,0,0,3.4,86,0.0,-126.3,0.0,1.2
2005-01-02 03:00:00+00:00,0,0,0,0,2.9,85,0.0,-106.4,0.0,0.6
2005-01-02 04:00:00+00:00,0,0,0,0,2.5,88,0.0,-94.5,0.0,0.8
2005-01-02 05:00:00+00:00,0,0,0,0,2.1,97,0.0,-85.4,0.0,1.6
2005-01-02 06:00:00+00:00,0,0,0,0,1.7,97,0.0,-77.3,0.0,1.4
2005-01-02 07:00:00+00:00,0,0,0,0,1.4,97,0.0,-69.2,0.0,1.1
2005-01-02 08:00:00+00:00,1,1,1,0,1.4,96,0.0,-60.5,0.0,0.9
2005-01-02 09:00:00+00:00,12,12,9,0,1.5,96,9.8,-51.1,0.0,1.0
2005-01-02 10:00:00+00:00,249,141,419,344,3.9,83,18.3,-39.5,0.0,1.3
2005-01-02 11:00:00+00:00,350,132,617,518,5.8,78,24.9,-26.5,0.0,2.2
2005-01-02 12:00:00+00:00,408,177,679,478,7.2,71,28.8,-11.6,0.0,2.3
2005-01-02 13:00:00+00:00,295,235,384,122,7.6,67,29.7,3.5,0.0,2.0
