Guadix
 37,2262      -3,0508        1093          1            Azimut = 0    Elevación = 37

 y	 m	 dm	 h	G_Gh	G_Dh	G_Gk	G_Bn	 Ta	 RH	 hs	 Az	RR	 Td
 2005	 1	 1	 1	0	0	0	0	6.9	69	 0.0	-142.2	0.0	1.7
 2005	 1	 1	 2	0	0	0	0	6.1	69	 0.0	-166.2	0.0	1.0
 2005	 1	 1	 3	0	0	0	0	5.3	74	 0.0	-126.1	0.0	1.1
 2005	 1	 1	 4	0	0	0	0	4.9	78	 0.0	-106.3	0.0	1.5
 2005	 1	 1	 5	0	0	0	0	4.5	84	 0.0	-94.4	0.0	2.1
 2005	 1	 1	 6	0	0	0	0	4.1	84	 0.0	-85.3	0.0	1.6
 2005	 1	 1	 7	0	0	0	0	3.8	87	 0.0	-77.2	0.0	1.8
 2005	 1	 1	 8	0	0	0	0	3.5	86	 0.0	-69.2	0.0	1.5
 2005	 1	 1	 9	3	3	2	0	3.6	87	 0.0	-60.4	0.0	1.6
 2005	 1	 1	 10	135	39	361	568	5.7	77	9.8	-50.6	0.0	1.9
 2005	 1	 1	 11	293	47	619	785	8.1	66	18.3	-39.4	0.0	2.1
 2005	 1	 1	 12	412	53	791	854	10.1	53	24.8	-26.4	0.0	1.0
 2005	 1	 1	 13	473	65	868	848	11.7	46	28.8	-11.5	0.0	0.5
 2005	 1	 1	 14	484	70	878	836	12.8	44	29.6	3.6	0.0	1.0
 2005	 1	 1	 15	439	67	825	814	13.4	42	27.2	19.2	0.0	0.6
 2005	 1	 1	 16	341	62	680	749	13.4	42	21.9	33.2	0.0	0.8
 2005	 1	 1	 17	204	51	466	621	12.7	42	14.3	45.3	0.0	0.3
 2005	 1	 1	 18	24	24	20	0	11.2	49	5.0	55.5	0.0	0.7
 2005	 1	 1	 19	0	0	0	0	10.3	58	 0.0	64.6	0.0	2.3
 2005	 1	 1	 20	0	0	0	0	9.4	63	 0.0	73.2	0.0	2.7
 2005	 1	 1	 21	0	0	0	0	8.5	67	 0.0	81.2	0.0	2.9
 2005	 1	 1	 22	0	0	0	0	7.6	74	 0.0	89.5	0.0	3.3
 2005	 1	 1	 23	0	0	0	0	6.7	76	 0.0	99.6	0.0	2.7
