Borg El Arab
 30,915        29,5456       10            2            Azimut = 0    Elevación = 31

 y	 m	 dm	 h	G_Gh	G_Dh	G_Gk	G_Bn	 Ta	 RH	 hs	 Az	RR	 Td
 2005	 1	 1	 1	0	0	0	0	13.3	84	 0.0	-142.6	0.5	10.7
 2005	 1	 1	 2	0	0	0	0	13.2	72	 0.0	-107.2	0.0	8.2
 2005	 1	 1	 3	0	0	0	0	13.0	74	 0.0	-94.4	0.0	8.4
 2005	 1	 1	 4	0	0	0	0	12.9	77	 0.0	-86.5	0.0	8.9
 2005	 1	 1	 5	0	0	0	0	12.8	81	 0.0	-80.1	0.0	9.7
 2005	 1	 1	 6	0	0	0	0	12.8	80	 0.0	-73.5	0.0	9.3
 2005	 1	 1	 7	0	0	0	0	12.7	81	 0.0	-67.0	0.0	9.6
 2005	 1	 1	 8	13	13	10	0	13.2	77	4.9	-59.2	0.0	9.2
 2005	 1	 1	 9	48	48	43	0	13.7	76	15.4	-50.2	0.0	9.6
 2005	 1	 1	 10	349	154	539	472	16.9	63	24.5	-39.1	0.0	9.9
 2005	 1	 1	 11	463	152	712	596	18.8	52	31.4	-25.4	0.0	8.9
 2005	 1	 1	 12	524	182	777	590	20.4	47	35.4	-9.5	0.0	8.7
 2005	 1	 1	 13	396	272	504	213	21.0	44	35.7	7.1	0.0	8.2
 2005	 1	 1	 14	405	222	560	342	21.4	44	32.3	23.2	0.0	8.7
 2005	 1	 1	 15	279	214	356	151	21.2	44	25.8	37.1	0.0	8.4
 2005	 1	 1	 16	173	133	233	136	20.6	46	17.0	48.4	0.0	8.6
 2005	 1	 1	 17	44	41	52	23	19.6	47	6.7	58.0	0.1	8.2
 2005	 1	 1	 18	0	0	0	0	18.6	55	 0.0	65.5	0.0	9.5
 2005	 1	 1	 19	0	0	0	0	18.0	59	 0.0	72.4	0.0	9.9
 2005	 1	 1	 20	0	0	0	0	17.3	64	 0.0	79.1	0.0	10.4
 2005	 1	 1	 21	0	0	0	0	16.8	67	 0.0	85.4	0.0	10.6
 2005	 1	 1	 22	0	0	0	0	16.1	72	 0.0	93.2	0.0	11.1
 2005	 1	 1	 23	0	0	0	0	15.4	73	 0.0	104.4	0.0	10.6
 2005	 1	 1	 24	0	0	0	0	14.6	73	 0.0	133.2	0.0	9.9
 2005	 1	 2	 1	0	0	0	0	13.7	79	 0.0	-143.4	0.0	10.1
 2005	 1	 2	 2	0	0	0	0	12.7	81	 0.0	-107.4	0.0	9.6
 2005	 1	 2	 3	0	0	0	0	11.7	83	 0.0	-94.5	0.0	9.0
 2005	 1	 2	 4	0	0	0	0	11.2	83	 0.0	-86.6	0.0	8.4
 2005	 1	 2	 5	0	0	0	0	10.6	87	 0.0	-80.2	0.0	8.5
 2005	 1	 2	 6	0	0	0	0	10.3	94	 0.0	-73.5	0.0	9.4
 2005	 1	 2	 7	0	0	0	0	9.9	98	 0.0	-67.1	0.0	9.5
 2005	 1	 2	 8	22	22	19	0	10.4	94	4.9	-59.3	0.0	9.5
 2005	 1	 2	 9	203	98	348	396	12.7	84	15.4	-50.3	0.0	10.2
 2005	 1	 2	 10	370	88	620	682	15.0	78	24.5	-39.2	0.0	11.1
 2005	 1	 2	 11	483	112	763	710	16.8	63	31.5	-25.5	0.0	9.6
 2005	 1	 2	 12	556	117	861	756	17.9	60	35.4	-9.6	0.0	10.0
 2005	 1	 2	 13	569	107	880	790	18.8	56	35.8	7.0	0.0	9.8
 2005	 1	 2	 14	511	106	806	755	19.2	53	32.4	23.1	0.0	9.5
 2005	 1	 2	 15	415	71	693	787	19.2	53	25.9	37.1	0.0	9.4
 2005	 1	 2	 16	243	73	443	578	18.5	52	17.1	48.4	0.0	8.4
 2005	 1	 2	 17	81	38	197	357	17.3	57	6.8	58.0	0.0	8.8
 2005	 1	 2	 18	0	0	0	0	16.1	62	 0.0	65.5	0.0	8.9
 2005	 1	 2	 19	0	0	0	0	15.3	69	 0.0	72.5	0.0	9.7
 2005	 1	 2	 20	0	0	0	0	14.6	67	 0.0	79.1	0.0	8.5
 2005	 1	 2	 21	0	0	0	0	13.9	71	 0.0	85.4	0.0	8.8
 2005	 1	 2	 22	0	0	0	0	13.1	74	 0.0	93.2	0.0	8.7
 2005	 1	 2	 23	0	0	0	0	12.4	77	 0.0	104.4	0.0	8.4
 2005	 1	 2	 24	0	0	0	0	11.7	79	 0.0	133.1	0.0	8.2
 2005	 1	 3	 1	0	0	0	0	11.2	84	 0.0	-144.3	0.0	8.6
 2005	 1	 3	 2	0	0	0	0	10.8	88	 0.0	-108.0	0.0	8.9
 2005	 1	 3	 3	0	0	0	0	10.3	84	 0.0	-95.1	0.0	7.7
 2005	 1	 3	 4	0	0	0	0	10.1	89	 0.0	-87.1	0.0	8.3
 2005	 1	 3	 5	0	0	0	0	9.9	88	 0.0	-80.3	0.0	7.9
 2005	 1	 3	 6	0	0	0	0	9.7	87	 0.0	-74.0	0.0	7.7
 2005	 1	 3	 7	0	0	0	0	9.6	89	 0.0	-67.2	0.0	7.8
 2005	 1	 3	 8	21	21	18	0	10.2	84	4.8	-59.4	0.0	7.6
 2005	 1	 3	 9	217	102	373	434	13.1	74	15.4	-50.3	0.0	8.6
 2005	 1	 3	 10	379	76	638	732	15.7	64	24.5	-39.3	0.0	9.0
 2005	 1	 3	 11	511	79	817	827	17.7	54	31.5	-25.6	0.0	8.3
 2005	 1	 3	 12	573	96	890	821	19.2	48	35.5	-10.1	0.0	8.0
 2005	 1	 3	 13	577	100	893	813	20.2	46	35.9	6.6	0.0	8.4
 2005	 1	 3	 14	530	79	843	840	20.7	48	32.5	23.1	0.0	9.4
 2005	 1	 3	 15	408	78	678	754	20.8	49	26.0	37.1	0.0	9.7
 2005	 1	 3	 16	258	64	478	653	20.1	50	17.3	48.4	0.0	9.4
 2005	 1	 3	 17	90	40	219	408	18.8	54	6.9	58.0	0.0	9.4
 2005	 1	 3	 18	0	0	0	0	17.4	59	 0.0	65.5	0.0	9.3
 2005	 1	 3	 19	0	0	0	0	16.8	66	 0.0	72.5	0.0	10.4
 2005	 1	 3	 20	0	0	0	0	16.0	68	 0.0	79.1	0.0	10.2
 2005	 1	 3	 21	0	0	0	0	15.3	71	 0.0	85.5	0.0	10.0
 2005	 1	 3	 22	0	0	0	0	14.5	73	 0.0	93.2	0.0	9.7
 2005	 1	 3	 23	0	0	0	0	13.7	74	 0.0	104.5	0.0	9.1
 2005	 1	 3	 24	0	0	0	0	12.9	81	 0.0	133.1	0.0	9.7
 2005	 1	 4	 1	0	0	0	0	12.1	81	 0.0	-145.2	0.0	9.0
 2005	 1	 4	 2	0	0	0	0	11.2	85	 0.0	-108.2	0.0	8.8
 2005	 1	 4	 3	0	0	0	0	10.3	87	 0.0	-95.2	0.0	8.2
 2005	 1	 4	 4	0	0	0	0	9.9	90	 0.0	-87.2	0.0	8.3
 2005	 1	 4	 5	0	0	0	0	9.4	91	 0.0	-80.4	0.0	8.1
 2005	 1	 4	 6	0	0	0	0	9.1	93	 0.0	-74.1	0.0	8.0
 2005	 1	 4	 7	0	0	0	0	8.8	96	 0.0	-67.2	0.0	8.1
 2005	 1	 4	 8	20	20	17	0	9.3	92	4.8	-59.5	0.0	8.1
 2005	 1	 4	 9	188	104	301	315	11.5	85	15.4	-50.4	0.0	9.1
 2005	 1	 4	 10	340	130	534	505	13.6	79	24.5	-39.4	0.0	10.0
 2005	 1	 4	 11	409	207	574	385	15.1	69	31.6	-26.1	0.0	9.4
 2005	 1	 4	 12	525	168	789	612	16.6	68	35.6	-10.1	0.0	10.7
 2005	 1	 4	 13	530	168	796	615	17.4	64	36.0	6.5	0.0	10.5
 2005	 1	 4	 14	482	157	734	601	17.8	62	32.6	23.0	0.0	10.4
 2005	 1	 4	 15	391	104	637	651	17.9	61	26.2	37.1	0.0	10.3
 2005	 1	 4	 16	236	91	407	488	17.3	67	17.4	48.4	0.0	11.2
 2005	 1	 4	 17	96	50	217	373	16.3	72	7.1	58.0	0.0	11.3
 2005	 1	 4	 18	0	0	0	0	14.9	80	 0.0	65.6	0.0	11.5
 2005	 1	 4	 19	0	0	0	0	14.1	87	 0.0	72.5	0.0	12.0
 2005	 1	 4	 20	0	0	0	0	13.4	89	 0.0	79.2	0.0	11.6
 2005	 1	 4	 21	0	0	0	0	12.6	86	 0.0	85.5	0.0	10.4
 2005	 1	 4	 22	0	0	0	0	11.8	87	 0.0	93.3	0.0	9.8
 2005	 1	 4	 23	0	0	0	0	11.1	89	 0.0	104.6	0.0	9.2
