time,G_Gh,G_Dh,G_Gk,G_Bn,Tamb,HR, hs, Az,precip, Td
2005-01-01 00:00:00+00:00,0,0,0,0,10.7,90,0.0,-144.0,6.7,9.1
2005-01-01 01:00:00+00:00,0,0,0,0,11.6,82,0.0,-163.4,0.5,8.7
2005-01-01 02:00:00+00:00,0,0,0,0,11.3,82,0.0,-124.4,0.5,8.4
2005-01-01 03:00:00+00:00,0,0,0,0,11.2,82,0.0,-105.4,0.3,8.3
2005-01-01 04:00:00+00:00,0,0,0,0,11.0,82,0.0,-93.6,0.2,8.1
2005-01-01 05:00:00+00:00,0,0,0,0,10.9,70,0.0,-85.0,0.0,5.6
2005-01-01 06:00:00+00:00,0,0,0,0,10.8,82,0.0,-76.5,0.2,7.9
2005-01-01 07:00:00+00:00,0,0,0,0,10.7,76,0.0,-68.5,0.0,6.7
2005-01-01 08:00:00+00:00,3,3,2,0,10.8,76,0.4,-60.1,0.0,6.7
2005-01-01 09:00:00+00:00,73,67,89,34,11.6,82,10.3,-50.3,0.1,8.6
2005-01-01 10:00:00+00:00,122,120,119,6,12.2,82,18.7,-39.1,0.2,9.2
2005-01-01 11:00:00+00:00,191,182,196,21,12.8,68,25.2,-26.0,0.0,7.1
2005-01-01 12:00:00+00:00,194,189,190,10,13.2,68,29.0,-11.1,0.0,7.5
2005-01-01 13:00:00+00:00,179,176,171,6,13.4,67,29.7,4.4,0.1,7.4
2005-01-01 14:00:00+00:00,90,90,79,0,13.2,70,27.1,20.1,0.1,7.8
2005-01-01 15:00:00+00:00,77,77,67,0,13.0,82,21.7,34.0,0.4,10.0
2005-01-01 16:00:00+00:00,53,53,45,0,12.6,82,14.0,46.0,0.8,9.7
2005-01-01 17:00:00+00:00,4,4,2,0,12.2,86,4.6,56.2,1.6,9.9
2005-01-01 18:00:00+00:00,0,0,0,0,11.4,86,0.0,65.2,3.2,9.2
2005-01-01 19:00:00+00:00,0,0,0,0,11.4,86,0.0,73.4,1.0,9.2
2005-01-01 20:00:00+00:00,0,0,0,0,10.7,86,0.0,81.4,2.2,8.5
2005-01-01 21:00:00+00:00,0,0,0,0,10.4,86,0.0,90.1,1.3,8.2
2005-01-01 22:00:00+00:00,0,0,0,0,10.1,82,0.0,100.2,0.7,7.2
2005-01-01 23:00:00+00:00,0,0,0,0,9.8,86,0.0,115.2,0.0,7.6
2005-01-02 00:00:00+00:00,0,0,0,0,9.3,92,0.0,-143.5,0.0,8.0
2005-01-02 01:00:00+00:00,0,0,0,0,8.8,93,0.0,-164.1,0.0,7.8
2005-01-02 02:00:00+00:00,0,0,0,0,8.4,97,0.0,-124.6,0.0,7.9
2005-01-02 03:00:00+00:00,0,0,0,0,8.2,98,0.0,-105.5,0.0,7.9
2005-01-02 04:00:00+00:00,0,0,0,0,8.0,98,0.0,-94.1,0.0,7.7
2005-01-02 05:00:00+00:00,0,0,0,0,7.8,97,0.0,-85.1,0.0,7.4
2005-01-02 06:00:00+00:00,0,0,0,0,7.7,98,0.0,-77.0,0.0,7.4
2005-01-02 07:00:00+00:00,0,0,0,0,7.6,98,0.0,-68.6,0.0,7.3
2005-01-02 08:00:00+00:00,9,9,6,0,7.8,98,0.4,-60.2,0.0,7.4
2005-01-02 09:00:00+00:00,75,69,91,33,8.5,89,10.3,-50.4,0.0,6.8
2005-01-02 10:00:00+00:00,175,135,245,125,9.5,87,18.7,-39.2,0.0,7.5
2005-01-02 11:00:00+00:00,384,154,664,540,11.1,76,25.2,-26.1,0.0,7.1
2005-01-02 12:00:00+00:00,597,181,1032,855,12.9,68,29.1,-11.2,0.0,7.2
2005-01-02 13:00:00+00:00,515,199,859,637,13.7,63,29.8,4.3,0.0,6.8
2005-01-02 14:00:00+00:00,113,113,102,0,13.0,61,27.2,20.0,0.0,5.5
2005-01-02 15:00:00+00:00,33,33,27,0,12.1,62,21.8,33.6,0.0,5.0
2005-01-02 16:00:00+00:00,20,20,15,0,11.3,63,14.1,46.0,0.0,4.5
2005-01-02 17:00:00+00:00,6,6,3,0,10.6,65,4.8,56.2,0.0,4.3
2005-01-02 18:00:00+00:00,0,0,0,0,10.2,65,0.0,65.2,0.0,3.9
2005-01-02 19:00:00+00:00,0,0,0,0,9.8,67,0.0,73.4,0.0,3.9
2005-01-02 20:00:00+00:00,0,0,0,0,9.4,71,0.0,81.4,0.0,4.5
2005-01-02 21:00:00+00:00,0,0,0,0,9.0,71,0.0,90.1,0.0,4.1
2005-01-02 22:00:00+00:00,0,0,0,0,8.6,73,0.0,100.2,0.0,4.0
2005-01-02 23:00:00+00:00,0,0,0,0,8.2,72,0.0,115.2,0.0,3.5
2005-01-03 00:00:00+00:00,0,0,0,0,7.7,73,0.0,-143.4,0.0,3.3
2005-01-03 01:00:00+00:00,0,0,0,0,7.1,79,0.0,-164.4,0.0,3.8
2005-01-03 02:00:00+00:00,0,0,0,0,6.5,82,0.0,-125.2,0.0,3.6
2005-01-03 03:00:00+00:00,0,0,0,0,6.2,84,0.0,-106.1,0.0,3.7
2005-01-03 04:00:00+00:00,0,0,0,0,5.9,87,0.0,-94.2,0.0,4.0
2005-01-03 05:00:00+00:00,0,0,0,0,5.6,87,0.0,-85.2,0.0,3.7
2005-01-03 06:00:00+00:00,0,0,0,0,5.4,84,0.0,-77.1,0.0,3.0
2005-01-03 07:00:00+00:00,0,0,0,0,5.2,85,0.0,-69.1,0.0,2.9
2005-01-03 08:00:00+00:00,4,4,2,0,5.3,86,0.4,-60.3,0.0,3.1
2005-01-03 09:00:00+00:00,168,49,427,667,7.9,77,10.3,-50.5,0.0,4.2
2005-01-03 10:00:00+00:00,344,73,706,842,10.6,69,18.8,-39.3,0.0,5.2
2005-01-03 11:00:00+00:00,481,84,909,932,12.8,56,25.3,-26.2,0.0,4.3
2005-01-03 12:00:00+00:00,562,89,1024,969,14.6,50,29.2,-11.3,0.0,4.3
2005-01-03 13:00:00+00:00,576,90,1043,974,15.8,48,29.9,4.3,0.0,4.7
2005-01-03 14:00:00+00:00,525,86,972,955,16.5,44,27.4,19.6,0.0,4.3
2005-01-03 15:00:00+00:00,412,80,807,890,16.6,42,21.9,33.5,0.0,3.5
2005-01-03 16:00:00+00:00,251,65,566,758,15.8,44,14.2,45.6,0.0,3.5
2005-01-03 17:00:00+00:00,23,23,20,0,14.1,47,4.9,56.2,0.0,3.1
2005-01-03 18:00:00+00:00,0,0,0,0,13.3,57,0.0,65.2,0.0,5.0
2005-01-03 19:00:00+00:00,0,0,0,0,12.6,59,0.0,73.4,0.0,4.9
2005-01-03 20:00:00+00:00,0,0,0,0,11.6,58,0.0,81.4,0.0,3.6
2005-01-03 21:00:00+00:00,0,0,0,0,10.7,61,0.0,90.1,0.0,3.5
2005-01-03 22:00:00+00:00,0,0,0,0,9.7,65,0.0,100.2,0.0,3.5
2005-01-03 23:00:00+00:00,0,0,0,0,8.8,70,0.0,115.2,0.0,3.7
2005-01-04 00:00:00+00:00,0,0,0,0,7.9,75,0.0,-143.3,0.0,3.8
2005-01-04 01:00:00+00:00,0,0,0,0,7.0,82,0.0,-165.1,0.0,4.2
2005-01-04 02:00:00+00:00,0,0,0,0,6.1,91,0.0,-125.4,0.0,4.8
2005-01-04 03:00:00+00:00,0,0,0,0,5.6,88,0.0,-106.2,0.0,3.8
2005-01-04 04:00:00+00:00,0,0,0,0,5.1,91,0.0,-94.3,0.0,3.8
2005-01-04 05:00:00+00:00,0,0,0,0,4.6,94,0.0,-85.3,0.0,3.8
2005-01-04 06:00:00+00:00,0,0,0,0,4.3,92,0.0,-77.2,0.0,3.1
2005-01-04 07:00:00+00:00,0,0,0,0,3.9,95,0.0,-69.2,0.0,3.2
2005-01-04 08:00:00+00:00,4,4,2,0,3.9,98,0.4,-60.4,0.0,3.6
2005-01-04 09:00:00+00:00,142,41,364,565,5.7,83,10.3,-50.5,0.0,3.1
2005-01-04 10:00:00+00:00,297,49,618,772,7.7,78,18.8,-39.4,0.0,4.1
2005-01-04 11:00:00+00:00,411,59,777,824,9.4,65,25.3,-26.3,0.0,3.1
2005-01-04 12:00:00+00:00,484,62,882,865,10.8,60,29.2,-11.3,0.0,3.5
2005-01-04 13:00:00+00:00,503,60,912,886,11.8,54,30.0,4.2,0.0,2.8
2005-01-04 14:00:00+00:00,457,56,849,869,12.3,54,27.5,19.5,0.0,3.4
2005-01-04 15:00:00+00:00,370,59,735,829,12.4,53,22.1,33.5,0.0,3.1
2005-01-04 16:00:00+00:00,220,44,507,710,11.7,53,14.4,45.6,0.0,2.5
2005-01-04 17:00:00+00:00,24,24,21,0,10.3,59,5.0,56.2,0.0,2.6
2005-01-04 18:00:00+00:00,0,0,0,0,9.5,69,0.0,65.2,0.0,4.2
2005-01-04 19:00:00+00:00,0,0,0,0,8.8,70,0.0,73.4,0.0,3.7
2005-01-04 20:00:00+00:00,0,0,0,0,8.1,73,0.0,81.4,0.0,3.6
