,water_price_morocco_eur_m3,water_price_morocco_alternative_eur_m3,water_price_egypt_eur_m3,water_price_egypt_alternative_eur_m3,Vavail_m3,deltaV_m3_h,Vavail_l,deltaV_l_h
2022-01-01 00:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.08348503380073,-0.9165149661992691,19083.48503380073,-916.5149661992691
2022-01-01 01:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.02023068461055,-0.9797693153894511,19020.23068461055,-979.7693153894511
2022-01-01 02:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.002447115419585,-0.997552884580416,19002.447115419585,-997.552884580416
2022-01-01 03:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.965135821969348,-1.0348641780306538,18965.135821969347,-1034.8641780306539
2022-01-01 04:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.968171942913717,-1.0318280570862841,18968.171942913716,-1031.8280570862842
2022-01-01 05:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.02052246321949,-0.9794775367805123,19020.522463219488,-979.4775367805123
2022-01-01 06:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.01697747305042,-0.983022526949578,19016.97747305042,-983.022526949578
2022-01-01 07:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.09281913761166,-0.9071808623883391,19092.81913761166,-907.180862388339
2022-01-01 08:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.084850192201895,-0.9151498077981042,19084.850192201895,-915.1498077981041
2022-01-01 09:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.94347483967584,-1.0565251603241603,18943.47483967584,-1056.5251603241604
2022-01-01 10:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.930274978720785,-1.0697250212792158,18930.274978720787,-1069.7250212792158
2022-01-01 11:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.959602082918117,-1.0403979170818844,18959.602082918118,-1040.3979170818845
2022-01-01 12:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.96975621377001,-1.03024378622999,18969.75621377001,-1030.24378622999
2022-01-01 13:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.955525374783377,-1.044474625216624,18955.525374783378,-1044.474625216624
2022-01-01 14:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.0483190200991,-0.9516809799009001,19048.3190200991,-951.6809799009001
2022-01-01 15:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.91433781518258,-1.0856621848174197,18914.337815182582,-1085.6621848174198
2022-01-01 16:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.957283487416355,-1.0427165125836466,18957.283487416356,-1042.7165125836466
2022-01-01 17:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.98004791382425,-1.019952086175751,18980.04791382425,-1019.952086175751
2022-01-01 18:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.916655548880506,-1.0833444511194923,18916.655548880506,-1083.3444511194923
2022-01-01 19:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.056294182358876,-0.9437058176411244,19056.294182358877,-943.7058176411243
2022-01-01 20:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.043590944668875,-0.9564090553311269,19043.590944668875,-956.4090553311269
2022-01-01 21:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.014796633480366,-0.9852033665196336,19014.796633480364,-985.2033665196336
2022-01-01 22:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.021347828689635,-0.9786521713103653,19021.347828689635,-978.6521713103652
2022-01-01 23:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.02224816576045,-0.97775183423955,19022.248165760448,-977.75183423955
2022-01-02 00:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.09823939188034,-0.9017606081196592,19098.239391880343,-901.7606081196592
2022-01-02 01:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.058065488497743,-0.9419345115022582,19058.06548849774,-941.9345115022581
2022-01-02 02:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.005933737144687,-0.9940662628553134,19005.93373714469,-994.0662628553134
2022-01-02 03:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.984775243775605,-1.0152247562243948,18984.775243775606,-1015.2247562243948
2022-01-02 04:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.091421897270447,-0.9085781027295531,19091.421897270448,-908.578102729553
2022-01-02 05:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.078407367579373,-0.9215926324206263,19078.407367579373,-921.5926324206263
2022-01-02 06:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.03413374795126,-0.9658662520487414,19034.13374795126,-965.8662520487414
2022-01-02 07:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.02042144145488,-0.9795785585451215,19020.421441454877,-979.5785585451215
2022-01-02 08:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.03124625165157,-0.9687537483484308,19031.24625165157,-968.7537483484308
2022-01-02 09:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.99611381378805,-1.0038861862119512,18996.113813788048,-1003.8861862119512
2022-01-02 10:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.010740618793186,-0.9892593812068124,19010.740618793185,-989.2593812068125
2022-01-02 11:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.952219010800093,-1.0477809891999073,18952.219010800094,-1047.7809891999073
2022-01-02 12:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.905876415497932,-1.0941235845020683,18905.876415497933,-1094.1235845020683
2022-01-02 13:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.94829724507254,-1.0517027549274633,18948.29724507254,-1051.7027549274633
2022-01-02 14:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,19.04309799765136,-0.9569020023486399,19043.09799765136,-956.9020023486398
2022-01-02 15:00:00+00:00,0.0290538951,0.581077902,0.06047057835,1.209411567,18.91084730220958,-1.089152697790421,18910.84730220958,-1089.152697790421
