Date,qc,Tc_in,Tcond,Tc_out,mv,Tv,Tamb,Cw
09-Feb-2024,16,25.13,33.3151839332267,32.555758788824,205.61,36.03,14.89,88.248
26-Feb-2024,10,17.07,33.5433414283434,32.4877540171503,266.93,36.09,16.7,120.6
16-Apr-2024,22.43,33.12,39.2942408774295,38.5499295308257,212.22,43.3,25.06,0
16-Apr-2024,24,33.18,38.9382940464874,38.1870160471673,209.4,43.35,27.42,140.064
16-Apr-2024,23.74,33.16,39.6896685625773,38.8484717938853,235.36,43.52,29.84,124.71
16-Apr-2024,24,31.66,37.7134834564863,36.9075591325464,219.49,43.44,31.02,139.218
18-Apr-2024,24,33.17,39.5300258854152,38.7001434377294,231.26,43.28,19.55,124.8
18-Apr-2024,24,33.16,39.1196983447971,38.3419413581564,216.7,43.28,20.82,130.824
18-Apr-2024,24,33.9,41.2893293540113,40.3344178119653,269.14,43.55,22.24,0
18-Apr-2024,24,33.68,39.7753400237833,38.9853375089084,221.89,43.43,23.09,0
18-Apr-2024,24,35.31,41.3571212961091,40.5899810382538,220.82,43.42,23.62,0
19-Apr-2024,24,33.18,42.3457446116981,41.1499905322684,333.48,43.88,16.51,205.074
17-Oct-2024,18,40.94,47.5669850597789,47.0181593117109,191.75,49.12,22.6,36.786
01-Mar-2024,10,38.21,51.9280188262266,51.3919897468003,232.7,56.16,18.2,0
01-Mar-2024,23.82,47.19,53.5649361033965,52.8753386738889,239.12,56.2,18.01,0
