,q,w_fan,Tamb,Tin,Tout,Ce_dc
0,4.9616,13.3363,20.4536,36.1099,31.257469283893993,0.06689777298822043
1,5.4778,11.0,21.9161,40.5846,36.23208676880448,0.03293968289999998
2,22.8087,73.7756,22.7019,35.8272,30.699125273816755,3.233880573335076
3,21.0552,37.4169,21.1983,40.5127,35.74498387624574,0.4614670713104043
4,14.6685,11.0009,13.504,37.015,34.783910176340285,0.032954278596724805
5,14.86,23.48,26.82,37.52,35.189280534333335,0.17576135211840227
6,14.6584,35.6172,15.4584,37.4617,30.510404064138797,0.405538604863562
7,14.5995,63.4769,26.7513,36.0005,31.5700970703125,2.1571005673286754
8,6.4496,11.0,13.7447,38.3363,33.379395854684915,0.03293968289999998
9,5.87,21.25,27.54,37.69,33.480342460158894,0.15163122290039052
10,22.9695,33.6654,12.3478,37.8256,32.53043956801825,0.35245462590402804
11,24.8644,75.3326,25.7417,37.8661,33.33411434344282,3.407506408749581
12,14.8846,19.2742,20.9445,35.393,32.81397191196608,0.13176618844868102
13,14.9587,69.2114,22.9241,35.3983,29.21601826171875,2.7379621118520543
14,15.5284,14.7842,19.6363,41.0416,38.27083895411489,0.08473007513046821
15,14.4787,45.5808,22.3437,40.79,33.65115447906432,0.809546154592007
16,5.9697,11.0,21.5868,37.9744,34.43330479952248,0.03293968289999998
17,5.9501,23.0188,23.4706,37.6516,31.47254303960706,0.1705413643967907
18,23.67,22.84,22.06,38.03,35.79538901459101,0.16855450402534108
19,34.1631,69.8057,18.5686,37.5193,37.5193,0.0
20,14.9683,31.0169,13.9086,36.7835,30.45103187741264,0.29191859346358173
21,13.9845,6.4769,26.7647,35.9961,35.9961,0.0
22,15.1238,20.2972,14.08,41.1168,36.094420454672964,0.14195808760977582
23,14.8376,51.1674,28.5126,41.0628,35.867652787073254,1.144432344099121
24,14.763,36.6132,23.6669,37.4255,32.991574284424814,0.43563300122346255
25,14.7692,32.079,20.6045,38.4459,33.29080721764733,0.31469685661693975
26,14.5201,34.1441,23.3523,38.1331,33.56838244124244,0.364775744485337
