Tamb,Tin,w_fan,q,Tout
22.43,37.54,13.7198968923419,5.98391130965593,32.9451720310766
18.9,40,11.0021829539145,5.83402121599112,34.4447529150471
21.8841119376125,33.4320335932816,21,23.2863877224555,31.8018596280749
15.29,42.23,25,23.58,38.34
15.25,37.55,19.62,17.73,34
27.86,37.27,17.42,14.91,35.67
13.69,37.5,27.9527842397336,11.973617536071,30.8973362930078
25.37,38.9,47.0523186851216,12.612423490965,33.0614763552479
15.1,36.99,11,5.31,31.23
24.34,38.07,11,6.08,34.37
13.34,37.43,34.64,23.47,32.85
29.48,38.46,100,23.49,34.59
19.24,36.71,11.42,12.92,34.24
16.71,32.36,50,9.86,24.4
19.82,42.39,11,15.8,40.2
21.43,40.1,28.96,11.96,33.9
18.09,36.62,11,9.92,33.94
18.9,38.46,22,6.14,29.6
21.3,37.89,15.8882732566856,21.210522744314,36.1175456135967
21.99,40.08,90,23.75,33.3
16.98,31.28,65,15.8,25.2
30.92,36.89,98,15.15,33.6
27.52,40.29,98,17.77,33.8
31.8295163152054,41.8619311875693,99.3392608213097,12.1212817980022,35.8384017758047
23,38.84,41.4735810798797,17.6379486945895,33.7191645372743
16.01,39.99,23.82,12.11,33.7
16.9410089727568,33.2359160209944,31.2075576605849,12.0014444888778,27.5345913521619
