,Tamb,Tout,Ce_dc,q,w_fan
0,22.43,33.37967576299443,0.07182294041157167,5.98391130965593,13.7198968923419
1,18.9,35.34601279165989,0.03297508257069148,5.83402121599112,11.0021829539145
2,21.8841119376125,31.93259510830636,0.14906787889999998,23.2863877224555,21.0
3,15.29,38.08646540152876,0.19409531249999992,23.58,25.0
4,15.25,34.08693554656977,0.1351995499297704,17.73,19.62
5,27.86,35.75613671032151,0.11322094658667657,14.91,17.42
6,13.69,30.280819718876693,0.2361948983741213,11.973617536071,27.9527842397336
7,25.37,33.00598465737014,0.8899260487986392,12.612423490965,47.0523186851216
8,15.1,31.775058041309446,0.03293968289999998,5.31,11.0
9,24.34,35.14718133809889,0.03293968289999998,6.08,11.0
10,13.34,32.384926567011135,0.3780115285589973,23.47,34.64
11,29.48,34.255009765625,5.8674,23.49,100.0
12,19.24,34.74643844714267,0.03961197413242382,12.92,11.42
13,16.71,24.1911279296875,1.0677749999999997,9.86,50.0
14,19.82,40.38602967821447,0.03293968289999998,15.8,11.0
15,21.43,34.23726120380182,0.25299405562095195,11.96,28.96
16,18.09,34.0828632021696,0.03293968289999998,9.92,11.0
17,18.9,30.411751835236267,0.15946364640000002,6.14,22.0
18,21.3,36.15056381644122,0.0971471800851777,21.210522744314,15.8882732566856
19,21.99,32.21478411871996,5.018999,23.75,90.0
20,16.98,24.730488281250004,2.3057593125,15.8,65.0
21,30.92,33.33365234375,5.7287211504,15.15,98.0
22,27.52,33.3001708984375,5.7287211504,17.77,98.0
23,31.8295163152054,35.14099700549739,5.8236840205008304,12.1212817980022,99.3392608213097
24,23.0,33.927494451512175,0.6142500807494831,17.6379486945895,41.4735810798797
25,16.01,33.711078064186395,0.17970394418752653,12.11,23.82
26,16.9410089727568,27.848094897046956,0.2958665575406568,12.0014444888778,31.2075576605849
