Tamb,Tin,w_fan,q,Tout
22.43,37.54,13.72,5.98,32.95
18.90,40.00,11.00,5.83,34.44
15.29,42.23,25.00,23.58,38.34
15.25,37.55,19.62,17.73,34.00
27.86,37.27,17.42,14.91,35.67
13.69,37.50,27.95,11.97,30.90
25.37,38.90,47.05,12.61,33.06
15.10,36.99,11.00,5.31,31.23
19.85,40.21,23.90,14.94,36.03
13.34,37.43,34.64,23.47,32.85
24.34,38.07,11.00,6.08,34.37
19.24,36.71,11.42,12.92,34.24
16.71,32.36,50.00,9.86,24.40
19.82,42.39,11.00,15.80,40.20
21.43,40.10,28.96,11.96,33.90
18.90,38.46,22.00,6.14,29.60
21.30,37.89,15.89,21.21,36.12
21.99,40.08,90.00,23.75,33.30
16.98,31.28,65.00,15.80,25.20
30.92,36.89,98.00,15.15,33.60
27.52,40.29,98.00,17.77,33.80
23.00,38.84,41.47,17.64,33.72
