Tamb,HR,Tin,q,w_fan,m_w_lost,Tout,mair_kgs
33.31,39.58,48.88,7.913,25.000,182.440,34.79,2.173
34.60,30.41,44.64,7.887,50.000,237.306,27.97,2.170
34.11,38.58,44.43,7.883,75.000,249.051,26.51,1.169
36.02,29.94,43.74,7.885,100.000,330.320,25.43,2.170
40.50,13.11,46.85,11.872,25.000,208.783,36.94,3.263
39.75,12.97,40.30,11.872,50.000,272.082,28.42,3.272
36.93,22.39,38.13,11.843,75.000,350.795,26.25,3.266
35.79,16.13,35.34,11.837,100.000,314.829,23.32,3.268
34.69,32.55,46.53,17.809,25.000,211.968,39.44,4.895
33.57,27.24,38.37,17.818,50.000,256.766,30.15,4.914
35.66,25.14,35.39,17.902,75.000,269.307,27.57,4.942
33.53,29.29,34.50,17.888,100.000,312.351,26.27,4.940
32.84,38.77,46.25,22.176,25.000,206.961,40.57,6.096
34.25,16.50,36.41,22.200,50.000,261.787,29.81,6.127
35.99,16.91,33.54,22.200,75.000,282.029,27.04,6.133
35.80,14.73,31.30,22.234,100.000,305.670,24.87,6.147
