Tamb,Tdc_in,qdc,wdc,Tdc_out
3,28.5,6,11,23.0845929228019
3,28.5,6,28.636,15.961669921875
3,28.5,6,46.272,12.36328125
3,28.5,6,63.908,NaN
3,28.5,6,81.544,8.964111328125
3,28.5,6,99.18,8.067626953125
3,28.5,9,11,24.719119870159
3,28.5,9,28.636,18.851716218851
3,28.5,9,46.272,15.264404296875
3,28.5,9,63.908,12.9111328125
3,28.5,9,81.544,11.280029296875
3,28.5,9,99.18,10.09716796875
3,28.5,12,11,25.5991938922771
3,28.5,12,28.636,20.7171962459308
3,28.5,12,46.272,17.3922620494314
3,28.5,12,63.908,15.02783203125
3,28.5,12,81.544,13.28466796875
3,28.5,12,99.18,11.96484375
3,28.5,15,11,26.149044000127
3,28.5,15,28.636,21.9909869061178
3,28.5,15,46.272,18.9569485376887
3,28.5,15,63.908,16.683837890625
3,28.5,15,81.544,14.940673828125
3,28.5,15,99.18,13.55859375
3,28.5,18,11,26.5226344999743
3,28.5,18,28.636,22.9093044703508
3,28.5,18,46.272,20.1558820216776
3,28.5,18,63.908,18.0041696734422
3,28.5,18,81.544,16.2978515625
3,28.5,18,99.18,14.915771484375
3,28.5,21,11,26.7942835478864
3,28.5,21,28.636,23.6047741101069
3,28.5,21,46.272,21.0925497285462
3,28.5,21,63.908,19.077706420012
3,28.5,21,81.544,17.4301825943226
3,28.5,21,99.18,16.061279296875
3,28.5,24,11,27.0011651988444
3,28.5,24,28.636,24.1471676462916
3,28.5,24,46.272,21.841949897186
3,28.5,24,63.908,19.9489068243709
3,28.5,24,81.544,18.3758224231349
3,28.5,24,99.18,17.044921875
3,33,6,11,26.6052296100357
3,33,6,28.636,18.146484375
3,33,6,46.272,13.869140625
3,33,6,63.908,11.3935546875
3,33,6,81.544,9.826171875
3,33,6,99.18,8.7421875
3,33,9,11,28.5352845262908
3,33,9,28.636,21.5930726748342
3,33,9,46.272,17.3408203125
3,33,9,63.908,14.54296875
3,33,9,81.544,12.609375
3,33,9,99.18,11.203125
3,33,12,11,29.5769175161659
3,33,12,28.636,23.8079884314353
3,33,12,46.272,19.8634955064684
3,33,12,63.908,17.0625
3,33,12,81.544,14.9970703125
3,33,12,99.18,13.4296875
3,33,15,11,30.2256997921709
3,33,15,28.636,25.3126396198908
3,33,15,46.272,21.7270906314443
3,33,15,63.908,19.0400390625
3,33,15,81.544,16.9599609375
3,33,15,99.18,15.3193359375
3,33,18,11,30.6681563818503
3,33,18,28.636,26.4026632372452
3,33,18,46.272,23.1439555678918
3,33,18,63.908,20.5998238580321
3,33,18,81.544,18.5712890625
3,33,18,99.18,16.9306640625
3,33,21,11,30.9884698860372
3,33,21,28.636,27.2232695847567
3,33,21,46.272,24.2506440641987
3,33,21,63.908,21.8579428956002
3,33,21,81.544,19.9058778840879
3,33,21,99.18,18.29296875
3,33,24,11,31.231196735474
3,33,24,28.636,27.8632634000924
3,33,24,46.272,25.1428220426323
3,33,24,63.908,22.898698829948
3,33,24,81.544,21.0260258784374
3,33,24,99.18,19.46484375
10.3333333333333,26.8333333333333,6,11,23.3290575948604
10.3333333333333,26.8333333333333,6,28.636,18.7041829427083
10.3333333333333,26.8333333333333,6,46.272,16.3435872395833
10.3333333333333,26.8333333333333,6,63.908,14.9820149739583
10.3333333333333,26.8333333333333,6,81.544,14.1118977864583
10.3333333333333,26.8333333333333,6,99.18,13.5157063802083
10.3333333333333,26.8333333333333,9,11,24.3853991233717
10.3333333333333,26.8333333333333,9,28.636,20.5815059031499
10.3333333333333,26.8333333333333,9,46.272,18.2449544270833
10.3333333333333,26.8333333333333,9,63.908,16.7141927083333
10.3333333333333,26.8333333333333,9,81.544,15.6426595052083
10.3333333333333,26.8333333333333,9,99.18,14.8611653645833
10.3333333333333,26.8333333333333,12,11,24.9554233753975
10.3333333333333,26.8333333333333,12,28.636,21.7914767089102
10.3333333333333,26.8333333333333,12,46.272,19.6266862368547
10.3333333333333,26.8333333333333,12,63.908,18.0918782552083
10.3333333333333,26.8333333333333,12,81.544,16.9558919270833
10.3333333333333,26.8333333333333,12,99.18,16.0857747395833
10.3333333333333,26.8333333333333,15,11,25.3104210023815
10.3333333333333,26.8333333333333,15,28.636,22.6137982047138
10.3333333333333,26.8333333333333,15,46.272,20.6495678912332
10.3333333333333,26.8333333333333,15,63.908,19.1714680989583
10.3333333333333,26.8333333333333,15,81.544,18.0354817708333
10.3333333333333,26.8333333333333,15,99.18,17.1331380208333
10.3333333333333,26.8333333333333,18,11,25.5533952077778
