,Tamb,Tdc_in,qdc,wdc
0,3.0,28.5,690.0,11.0
1,3.0,28.5,690.0,28.636000000000003
2,3.0,28.5,690.0,46.272000000000006
3,3.0,28.5,690.0,63.90800000000001
4,3.0,28.5,690.0,81.54400000000001
5,3.0,28.5,690.0,99.18
6,3.0,28.5,1035.0,11.0
7,3.0,28.5,1035.0,28.636000000000003
8,3.0,28.5,1035.0,46.272000000000006
9,3.0,28.5,1035.0,63.90800000000001
10,3.0,28.5,1035.0,81.54400000000001
11,3.0,28.5,1035.0,99.18
12,3.0,28.5,1380.0,11.0
13,3.0,28.5,1380.0,28.636000000000003
14,3.0,28.5,1380.0,46.272000000000006
15,3.0,28.5,1380.0,63.90800000000001
16,3.0,28.5,1380.0,81.54400000000001
17,3.0,28.5,1380.0,99.18
18,3.0,28.5,1725.0,11.0
19,3.0,28.5,1725.0,28.636000000000003
20,3.0,28.5,1725.0,46.272000000000006
21,3.0,28.5,1725.0,63.90800000000001
22,3.0,28.5,1725.0,81.54400000000001
23,3.0,28.5,1725.0,99.18
24,3.0,28.5,2070.0,11.0
25,3.0,28.5,2070.0,28.636000000000003
26,3.0,28.5,2070.0,46.272000000000006
27,3.0,28.5,2070.0,63.90800000000001
28,3.0,28.5,2070.0,81.54400000000001
29,3.0,28.5,2070.0,99.18
30,3.0,28.5,2415.0,11.0
31,3.0,28.5,2415.0,28.636000000000003
32,3.0,28.5,2415.0,46.272000000000006
33,3.0,28.5,2415.0,63.90800000000001
34,3.0,28.5,2415.0,81.54400000000001
35,3.0,28.5,2415.0,99.18
36,3.0,28.5,2760.0,11.0
37,3.0,28.5,2760.0,28.636000000000003
38,3.0,28.5,2760.0,46.272000000000006
39,3.0,28.5,2760.0,63.90800000000001
40,3.0,28.5,2760.0,81.54400000000001
41,3.0,28.5,2760.0,99.18
42,3.0,33.0,690.0,11.0
43,3.0,33.0,690.0,28.636000000000003
44,3.0,33.0,690.0,46.272000000000006
45,3.0,33.0,690.0,63.90800000000001
46,3.0,33.0,690.0,81.54400000000001
47,3.0,33.0,690.0,99.18
48,3.0,33.0,1035.0,11.0
49,3.0,33.0,1035.0,28.636000000000003
50,3.0,33.0,1035.0,46.272000000000006
51,3.0,33.0,1035.0,63.90800000000001
52,3.0,33.0,1035.0,81.54400000000001
53,3.0,33.0,1035.0,99.18
54,3.0,33.0,1380.0,11.0
55,3.0,33.0,1380.0,28.636000000000003
56,3.0,33.0,1380.0,46.272000000000006
57,3.0,33.0,1380.0,63.90800000000001
58,3.0,33.0,1380.0,81.54400000000001
59,3.0,33.0,1380.0,99.18
60,3.0,33.0,1725.0,11.0
61,3.0,33.0,1725.0,28.636000000000003
62,3.0,33.0,1725.0,46.272000000000006
63,3.0,33.0,1725.0,63.90800000000001
64,3.0,33.0,1725.0,81.54400000000001
65,3.0,33.0,1725.0,99.18
66,3.0,33.0,2070.0,11.0
67,3.0,33.0,2070.0,28.636000000000003
68,3.0,33.0,2070.0,46.272000000000006
69,3.0,33.0,2070.0,63.90800000000001
70,3.0,33.0,2070.0,81.54400000000001
71,3.0,33.0,2070.0,99.18
72,3.0,33.0,2415.0,11.0
73,3.0,33.0,2415.0,28.636000000000003
74,3.0,33.0,2415.0,46.272000000000006
75,3.0,33.0,2415.0,63.90800000000001
76,3.0,33.0,2415.0,81.54400000000001
77,3.0,33.0,2415.0,99.18
78,3.0,33.0,2760.0,11.0
79,3.0,33.0,2760.0,28.636000000000003
80,3.0,33.0,2760.0,46.272000000000006
81,3.0,33.0,2760.0,63.90800000000001
82,3.0,33.0,2760.0,81.54400000000001
83,3.0,33.0,2760.0,99.18
84,10.333333333333332,26.833333333333332,690.0,11.0
85,10.333333333333332,26.833333333333332,690.0,28.636000000000003
86,10.333333333333332,26.833333333333332,690.0,46.272000000000006
87,10.333333333333332,26.833333333333332,690.0,63.90800000000001
88,10.333333333333332,26.833333333333332,690.0,81.54400000000001
89,10.333333333333332,26.833333333333332,690.0,99.18
90,10.333333333333332,26.833333333333332,1035.0,11.0
91,10.333333333333332,26.833333333333332,1035.0,28.636000000000003
92,10.333333333333332,26.833333333333332,1035.0,46.272000000000006
93,10.333333333333332,26.833333333333332,1035.0,63.90800000000001
94,10.333333333333332,26.833333333333332,1035.0,81.54400000000001
95,10.333333333333332,26.833333333333332,1035.0,99.18
96,10.333333333333332,26.833333333333332,1380.0,11.0
97,10.333333333333332,26.833333333333332,1380.0,28.636000000000003
