Tamb,Tdc_in,qdc,wdc,Tdc_out
3,28.5,690,11,11
3,28.5,690,28.636,28.636
3,28.5,690,46.272,46.272
3,28.5,690,63.908,63.908
3,28.5,690,81.544,81.544
3,28.5,690,99.18,99.18
3,28.5,1035,11,11
3,28.5,1035,28.636,28.636
3,28.5,1035,46.272,46.272
3,28.5,1035,63.908,63.908
3,28.5,1035,81.544,81.544
3,28.5,1035,99.18,99.18
3,28.5,1380,11,11
3,28.5,1380,28.636,28.636
3,28.5,1380,46.272,46.272
3,28.5,1380,63.908,63.908
3,28.5,1380,81.544,81.544
3,28.5,1380,99.18,99.18
3,28.5,1725,11,11
3,28.5,1725,28.636,28.636
3,28.5,1725,46.272,46.272
3,28.5,1725,63.908,63.908
3,28.5,1725,81.544,81.544
3,28.5,1725,99.18,99.18
3,28.5,2070,11,11
3,28.5,2070,28.636,28.636
3,28.5,2070,46.272,46.272
3,28.5,2070,63.908,63.908
3,28.5,2070,81.544,81.544
3,28.5,2070,99.18,99.18
3,28.5,2415,11,11
3,28.5,2415,28.636,28.636
3,28.5,2415,46.272,46.272
3,28.5,2415,63.908,63.908
3,28.5,2415,81.544,81.544
3,28.5,2415,99.18,99.18
3,28.5,2760,11,11
3,28.5,2760,28.636,28.636
3,28.5,2760,46.272,46.272
3,28.5,2760,63.908,63.908
3,28.5,2760,81.544,81.544
3,28.5,2760,99.18,99.18
3,33,690,11,11
3,33,690,28.636,28.636
3,33,690,46.272,46.272
3,33,690,63.908,63.908
3,33,690,81.544,81.544
3,33,690,99.18,99.18
3,33,1035,11,11
3,33,1035,28.636,28.636
3,33,1035,46.272,46.272
3,33,1035,63.908,63.908
3,33,1035,81.544,81.544
3,33,1035,99.18,99.18
3,33,1380,11,11
3,33,1380,28.636,28.636
3,33,1380,46.272,46.272
3,33,1380,63.908,63.908
3,33,1380,81.544,81.544
3,33,1380,99.18,99.18
3,33,1725,11,11
3,33,1725,28.636,28.636
3,33,1725,46.272,46.272
3,33,1725,63.908,63.908
3,33,1725,81.544,81.544
3,33,1725,99.18,99.18
3,33,2070,11,11
3,33,2070,28.636,28.636
3,33,2070,46.272,46.272
3,33,2070,63.908,63.908
3,33,2070,81.544,81.544
3,33,2070,99.18,99.18
3,33,2415,11,11
3,33,2415,28.636,28.636
3,33,2415,46.272,46.272
3,33,2415,63.908,63.908
3,33,2415,81.544,81.544
3,33,2415,99.18,99.18
3,33,2760,11,11
3,33,2760,28.636,28.636
3,33,2760,46.272,46.272
