Tamb,Tin,w_fan,q,Tout
3,28.5,11,6,23.6146244100492
3,28.5,28.636,6,18.053466796875
3,28.5,46.272,6,15.52587890625
3,28.5,63.908,6,14.093994140625
3,28.5,81.544,6,13.18505859375
3,28.5,99.18,6,12.5625
3,28.5,11,9,25.0258325407888
3,28.5,28.636,9,20.2034696309443
3,28.5,46.272,9,17.54296875
3,28.5,63.908,9,15.886962890625
3,28.5,81.544,9,14.75390625
3,28.5,99.18,9,13.944580078125
3,28.5,11,12,25.8106899539902
3,28.5,28.636,12,21.6839175871478
3,28.5,46.272,12,19.1246581495753
3,28.5,63.908,12,17.406005859375
3,28.5,81.544,12,16.185791015625
3,28.5,99.18,12,15.264404296875
3,28.5,11,15,26.3083427758842
3,28.5,28.636,15,22.7264495678658
3,28.5,46.272,15,20.334508424838
3,28.5,63.908,15,18.638671875
3,28.5,81.544,15,17.381103515625
3,28.5,99.18,15,16.42236328125
3,28.5,11,18,26.6512657042139
3,28.5,28.636,18,23.4996141020373
3,28.5,46.272,18,21.2734496455591
3,28.5,63.908,18,19.6344523210269
3,28.5,81.544,18,18.3896484375
3,28.5,99.18,18,17.406005859375
3,28.5,11,21,26.9010009094679
3,28.5,28.636,21,24.0913311430202
3,28.5,46.272,21,22.0309439321936
3,28.5,63.908,21,20.4663771019777
3,28.5,99.18,21,18.252685546875
3,28.5,11,24,27.0914424040249
3,28.5,28.636,24,24.5627346526727
3,28.5,46.272,24,22.6458852295655
3,28.5,63.908,24,21.1562777092087
3,28.5,81.544,24,19.965683027598
3,33,11,6,27.2051027564166
3,33,28.636,6,20.5341796875
3,33,46.272,6,17.47265625
3,33,63.908,6,15.744140625
3,33,81.544,6,14.6455078125
3,33,99.18,6,13.8837890625
3,33,11,9,28.8900905887865
3,33,28.636,9,23.1413802112979
3,33,46.272,9,19.9482421875
3,33,63.908,9,17.9560546875
3,33,81.544,9,16.59375
3,33,99.18,9,15.6123046875
3,33,11,12,29.8212106082609
3,33,28.636,12,24.9139627100454
3,33,46.272,12,21.8479053315987
3,33,63.908,12,19.8017578125
3,33,81.544,12,18.322265625
3,33,99.18,12,17.2236328125
3,33,11,15,30.4114409098705
3,33,28.636,15,26.159343860481
3,33,46.272,15,23.3049789793142
3,33,63.908,15,21.28125
3,33,81.544,15,19.7724609375
3,33,99.18,15,18.615234375
3,33,11,18,30.8164668479484
3,33,28.636,18,27.0817325897402
3,33,46.272,18,24.4323462649797
3,33,63.908,18,22.480256637756
3,33,81.544,18,20.98828125
3,33,99.18,18,19.81640625
3,33,11,21,31.11282598388
3,33,28.636,21,27.7871192298742
3,33,46.272,21,25.3320919720737
3,33,63.908,21,23.4706670913737
3,33,81.544,21,22.0009795334252
3,33,99.18,21,20.8271484375
3,33,11,24,31.3375806151238
3,33,28.636,24,28.3406375532899
3,33,46.272,24,26.0689567505834
3,33,63.908,24,24.2911946505458
3,33,81.544,24,22.8726183738474
3,33,99.18,24,21.7060546875
10.3333333333333,26.8333333333333,11,6,23.672204265415
10.3333333333333,26.8333333333333,28.636,6,20.0576985677083
10.3333333333333,26.8333333333333,46.272,6,18.3980305989583
10.3333333333333,26.8333333333333,63.908,6,17.4554036458333
10.3333333333333,26.8333333333333,81.544,6,16.8511555989583
10.3333333333333,26.8333333333333,99.18,6,16.4322102864583
10.3333333333333,26.8333333333333,11,9,24.5839055047031
10.3333333333333,26.8333333333333,28.636,9,21.4631219542683
10.3333333333333,26.8333333333333,46.272,9,19.7273763020833
10.3333333333333,26.8333333333333,63.908,9,18.6397298177083
10.3333333333333,26.8333333333333,81.544,9,17.8985188802083
10.3333333333333,26.8333333333333,99.18,9,17.3587239583333
10.3333333333333,26.8333333333333,11,12,25.093622304306
