Tamb,Tdc_in,qdc,wdc,Tdc_out
3,28.5,6,11,11
3,28.5,6,28.636,28.636
3,28.5,6,46.272,46.272
3,28.5,6,63.908,63.908
3,28.5,6,81.544,81.544
3,28.5,6,99.18,99.18
3,28.5,9,11,11
3,28.5,9,28.636,28.636
3,28.5,9,46.272,46.272
3,28.5,9,63.908,63.908
3,28.5,9,81.544,81.544
3,28.5,9,99.18,99.18
3,28.5,12,11,11
3,28.5,12,28.636,28.636
3,28.5,12,46.272,46.272
3,28.5,12,63.908,63.908
3,28.5,12,81.544,81.544
3,28.5,12,99.18,99.18
3,28.5,15,11,11
3,28.5,15,28.636,28.636
3,28.5,15,46.272,46.272
3,28.5,15,63.908,63.908
3,28.5,15,81.544,81.544
3,28.5,15,99.18,99.18
3,28.5,18,11,11
3,28.5,18,28.636,28.636
3,28.5,18,46.272,46.272
3,28.5,18,63.908,63.908
3,28.5,18,81.544,81.544
3,28.5,18,99.18,99.18
3,28.5,21,11,11
3,28.5,21,28.636,28.636
3,28.5,21,46.272,46.272
3,28.5,21,63.908,63.908
3,28.5,21,81.544,81.544
3,28.5,21,99.18,99.18
3,28.5,24,11,11
3,28.5,24,28.636,28.636
3,28.5,24,46.272,46.272
3,28.5,24,63.908,63.908
3,28.5,24,81.544,81.544
3,28.5,24,99.18,99.18
3,33,6,11,11
3,33,6,28.636,28.636
3,33,6,46.272,46.272
3,33,6,63.908,63.908
3,33,6,81.544,81.544
3,33,6,99.18,99.18
3,33,9,11,11
3,33,9,28.636,28.636
3,33,9,46.272,46.272
3,33,9,63.908,63.908
3,33,9,81.544,81.544
3,33,9,99.18,99.18
3,33,12,11,11
3,33,12,28.636,28.636
3,33,12,46.272,46.272
3,33,12,63.908,63.908
3,33,12,81.544,81.544
3,33,12,99.18,99.18
3,33,15,11,11
3,33,15,28.636,28.636
3,33,15,46.272,46.272
3,33,15,63.908,63.908
3,33,15,81.544,81.544
3,33,15,99.18,99.18
3,33,18,11,11
3,33,18,28.636,28.636
3,33,18,46.272,46.272
3,33,18,63.908,63.908
3,33,18,81.544,81.544
3,33,18,99.18,99.18
3,33,21,11,11
3,33,21,28.636,28.636
3,33,21,46.272,46.272
3,33,21,63.908,63.908
3,33,21,81.544,81.544
3,33,21,99.18,99.18
3,33,24,11,11
3,33,24,28.636,28.636
3,33,24,46.272,46.272
3,33,24,63.908,63.908
3,33,24,81.544,81.544
3,33,24,99.18,99.18
10.3333333333333,26.8333333333333,6,11,11
10.3333333333333,26.8333333333333,6,28.636,28.636
10.3333333333333,26.8333333333333,6,46.272,46.272
10.3333333333333,26.8333333333333,6,63.908,63.908
10.3333333333333,26.8333333333333,6,81.544,81.544
10.3333333333333,26.8333333333333,6,99.18,99.18
10.3333333333333,26.8333333333333,9,11,10.9737477156847
10.3333333333333,26.8333333333333,9,28.636,27.9074901746134
10.3333333333333,26.8333333333333,9,46.272,44.8290477638432
10.3333333333333,26.8333333333333,9,63.908,63.908
10.3333333333333,26.8333333333333,9,81.544,81.544
10.3333333333333,26.8333333333333,9,99.18,99.18
10.3333333333333,26.8333333333333,12,11,10.9609513638591
10.3333333333333,26.8333333333333,12,28.636,27.5516514405897
10.3333333333333,26.8333333333333,12,46.272,44.1229665024455
10.3333333333333,26.8333333333333,12,63.908,63.908
10.3333333333333,26.8333333333333,12,81.544,81.544
10.3333333333333,26.8333333333333,12,99.18,99.18
10.3333333333333,26.8333333333333,15,11,10.9486787388427
10.3333333333333,26.8333333333333,15,28.636,27.2098470114866
10.3333333333333,26.8333333333333,15,46.272,43.4437845728851
10.3333333333333,26.8333333333333,15,63.908,63.908
10.3333333333333,26.8333333333333,15,81.544,81.544
10.3333333333333,26.8333333333333,15,99.18,99.18
10.3333333333333,26.8333333333333,18,11,10.9368585077819
10.3333333333333,26.8333333333333,18,28.636,26.8813736721246
10.3333333333333,26.8333333333333,18,46.272,42.7926113967807
10.3333333333333,26.8333333333333,18,63.908,63.908
10.3333333333333,26.8333333333333,18,81.544,81.544
10.3333333333333,26.8333333333333,18,99.18,99.18
10.3333333333333,26.8333333333333,21,11,10.9255155011885
10.3333333333333,26.8333333333333,21,28.636,26.5646143639078
10.3333333333333,26.8333333333333,21,46.272,42.161698846256
10.3333333333333,26.8333333333333,21,63.908,63.908
10.3333333333333,26.8333333333333,21,81.544,81.544
10.3333333333333,26.8333333333333,21,99.18,99.18
10.3333333333333,26.8333333333333,24,11,10.9145274976538
10.3333333333333,26.8333333333333,24,28.636,26.2572006067638
10.3333333333333,26.8333333333333,24,46.272,41.5554743464989
10.3333333333333,26.8333333333333,24,63.908,63.908
10.3333333333333,26.8333333333333,24,81.544,81.544
10.3333333333333,26.8333333333333,24,99.18,99.18
10.3333333333333,31.3333333333333,6,11,11
10.3333333333333,31.3333333333333,6,28.636,28.636
10.3333333333333,31.3333333333333,6,46.272,46.272
10.3333333333333,31.3333333333333,6,63.908,63.908
10.3333333333333,31.3333333333333,6,81.544,81.544
10.3333333333333,31.3333333333333,6,99.18,99.18
10.3333333333333,31.3333333333333,9,11,11
10.3333333333333,31.3333333333333,9,28.636,28.636
10.3333333333333,31.3333333333333,9,46.272,46.272
10.3333333333333,31.3333333333333,9,63.908,63.908
10.3333333333333,31.3333333333333,9,81.544,81.544
10.3333333333333,31.3333333333333,9,99.18,99.18
10.3333333333333,31.3333333333333,12,11,11
10.3333333333333,31.3333333333333,12,28.636,28.636
10.3333333333333,31.3333333333333,12,46.272,46.272
10.3333333333333,31.3333333333333,12,63.908,63.908
10.3333333333333,31.3333333333333,12,81.544,81.544
10.3333333333333,31.3333333333333,12,99.18,99.18
10.3333333333333,31.3333333333333,15,11,11
10.3333333333333,31.3333333333333,15,28.636,28.636
10.3333333333333,31.3333333333333,15,46.272,46.272
10.3333333333333,31.3333333333333,15,63.908,63.908
10.3333333333333,31.3333333333333,15,81.544,81.544
10.3333333333333,31.3333333333333,15,99.18,99.18
10.3333333333333,31.3333333333333,18,11,11
