Tamb,HR,Tin,q,w_fan,Tout,m_w_lost
3,99.9,26.25,6,62.0121913732938,11.3713535806175,96.5623642563085
3,99.9,26.25,6,31.4052581020886,15.0941937573656,75.3998424884603
3,99.9,26.25,6,23.2382967464497,16.8756838758272,64.5759580950559
3,99.9,26.25,8,93.4161,11.7073718229435,126.312899348501
3,99.9,26.25,8,40.3612493038513,15.5287884103555,97.0673076490565
3,99.9,26.25,8,28.6056231599992,17.4175980882917,81.5936567864985
3,99.9,26.25,8,23.2382967464497,18.5321044357475,72.151514856269
3,99.9,26.25,8,21,19.0579410995938,67.616443624869
3,99.9,26.25,10,50.3917831240113,15.7976178916728,118.632111279517
3,99.9,26.25,10,34.2917384082745,17.7576818515483,98.4211694792548
3,99.9,26.25,10,27.2360202717847,18.9171069376953,86.0451356166919
3,99.9,26.25,10,23.2382967464497,19.6844649757192,77.6822927114653
3,99.9,26.25,10,21,20.1555363440496,72.4805007840525
3,99.9,26.25,12,62.0121913732938,15.9775168150209,140.177375759065
3,99.9,26.25,12,40.3612493038513,17.9902565359341,115.15637051108
3,99.9,26.25,12,31.4052581020886,19.1818390262924,99.810602263369
3,99.9,26.25,12,26.4234385529301,19.9714148169138,89.4237865181942
3,99.9,26.25,12,23.2382967464497,20.533546769829,81.9225963778215
3,99.9,26.25,12,21.0232041055043,20.9543381623465,76.2493038549421
3,99.9,26.25,14,76.3603632187827,16.1020837748025,161.772050229548
3,99.9,26.25,14,46.9040702333747,18.1586045159332,131.847711444247
3,99.9,26.25,14,35.7701844416653,19.3747320107674,113.504052715891
3,99.9,26.25,14,29.7155535786059,20.1810702372623,101.075888569417
3,99.9,26.25,14,25.8854370281542,20.7554998343677,92.0924120156501
3,99.9,26.25,14,23.2382967464497,21.1857317849284,85.2929348748756
3,99.9,26.25,14,21.2974905868153,21.520122447581,79.9658400734324
3,99.9,26.25,14,21,21.5728792503898,79.121988610058
3,99.9,26.25,16,93.4161,16.2913422580238,181.800933139612
3,99.9,26.25,16,54.051953234437,18.2853090499137,148.524557317953
3,99.9,26.25,16,40.3612493038513,19.5212348295131,127.156298559312
3,99.9,26.25,16,33.1262037143921,20.3407993929513,112.672862326356
3,99.9,26.25,16,28.6056231599992,20.9248713460907,102.197621056375
3,99.9,26.25,16,25.5029403061798,21.3624885732928,94.264791736878
3,99.9,26.25,16,23.2382967464497,21.7027316080296,88.0468944987412
3,99.9,26.25,16,21.511329508524,21.9749218102626,83.0408004300451
3,99.9,26.25,16,21,22.0577319271116,81.5121195382901
3,99.9,26.25,18,62.0121913732938,18.3831547535684,165.210275848349
3,99.9,26.25,18,45.2177283181504,19.6359850783205,140.786448475482
3,99.9,26.25,18,36.6691966609859,20.4663900492991,124.235123666412
3,99.9,26.25,18,31.4052581020886,21.0582804409483,112.260309422889
3,99.9,26.25,18,27.8206170878114,21.501861135664,103.188491883102
3,99.9,26.25,18,25.2170349696031,21.8468240481114,96.0753363104365
3,99.9,26.25,18,23.2382967464497,22.1228482963532,90.3467353599975
3,99.9,26.25,18,21.6827208917326,22.3487658689001,85.6334136468694
3,99.9,26.25,20,71.1471634023655,18.4596932803658,181.929995668011
3,99.9,26.25,20,50.3917831240113,19.7279794714918,154.407909844906
3,99.9,26.25,20,40.3612493038513,20.5675850629455,135.775887808546
3,99.9,26.25,20,34.2917384082745,21.1659987309902,122.294483280249
3,99.9,26.25,20,30.195236980207,21.614518612095,112.079024560577
3,99.9,26.25,20,27.2360202717847,21.9633854106916,104.066942092186
3,99.9,26.25,20,24.9952319421598,22.242574343098,97.612954922038
3,99.9,26.25,20,23.2382967464497,22.4711187895791,92.3015915099946
3,99.9,26.25,22,82.2114187310658,18.5190686739491,198.724044271804
3,99.9,26.25,22,55.955291895734,19.8030249545576,168.031539338746
3,99.9,26.25,22,44.2229251229351,20.6507178895104,147.304409884873
3,99.9,26.25,22,37.2736856211062,21.2547154653896,132.309588824236
3,99.9,26.25,22,32.6312153449728,21.7074288519194,120.946022676559
3,99.9,26.25,22,29.2978132833713,22.0595845929017,112.0320973267
3,99.9,26.25,22,26.7837516485741,22.3414365559985,104.850382343496
3,99.9,26.25,22,24.8181449550679,22.5721909247175,98.9390041064249
3,99.9,26.25,24,93.4161,18.6551460653404,213.284848384413
3,99.9,26.25,24,62.0121913732938,19.8649958297599,181.667771349772
3,99.9,26.25,24,48.280001868924,20.7200775960482,158.82773766302
3,99.9,26.25,24,40.3612493038513,21.3289723269708,142.312372736094
