,Tamb,HR,mv,Tv,qc,Tc_in,Tc_out,Tcond,Qc_released,Qc_absorbed,Qc_transfered,Ce_c,Rp,Rs,wdc,qdc,Tdc_in,Tdc_out,Ce_dc,Qdc,wwct,qwct,qwct_s,qwct_p,Twct_in,Twct_out,Ce_wct,Cw_wct,Qwct,Tcc_out,Cw_s1,Cw_s2,Pw,Pw_s1,Pw_s2,Pe,Vavail,deltaV,time,qdc_only,Tcc_in,Ce_cc,Cw_cc,Qcc,Ce,Cw,qcc,Vavail_s1,Je,Jw,J,Je_c,Je_dc,Je_wct,Jw_wct,Jw_s1,Jw_s2
2022-01-03 00:00:00+00:00,1.1,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90538951e-05,2.90538951e-05,0.0032144,0.16072,0.8850241545893719,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850241545893719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 01:00:00+00:00,0.6,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90538951e-05,2.90538951e-05,0.0030928,0.15464,0.8850241545893719,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850241545893719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 02:00:00+00:00,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90538951e-05,2.90538951e-05,0.0029972000000000006,0.14986000000000002,0.8850241545893719,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850241545893719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 03:00:00+00:00,-0.2,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90538951e-05,2.90538951e-05,0.0028898,0.14449,0.8850241545893719,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850241545893719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 04:00:00+00:00,-0.5,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90538951e-05,2.90538951e-05,0.0029772000000000006,0.14886000000000002,0.8850241545893719,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850241545893719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 05:00:00+00:00,-0.7,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90538951e-05,2.90538951e-05,0.0030754000000000003,0.15377000000000002,0.8850241545893719,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850241545893719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 06:00:00+00:00,-0.9,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90538951e-05,2.90538951e-05,0.0032144,0.16072,0.8850241545893719,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850241545893719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 07:00:00+00:00,-1.1,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90538951e-05,2.90538951e-05,0.0037852,0.18925999999999998,0.8850241545893719,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850241545893719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 08:00:00+00:00,-0.9,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90538951e-05,2.90538951e-05,0.0036708,0.18354,0.8850241545893719,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850241545893719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03 09:00:00+00:00,1.6,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90538951e-05,2.90538951e-05,0.0032144,0.16072,0.8850241545893719,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8850241545893719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
