month,day,start_hour,end_hour,value
1,1,0.0,7.0,0.6
1,1,7.0,9.5,1.0
1,1,9.5,19.0,0.0
1,1,19.0,21.5,1.0
1,1,21.5,24.0,0.6
1,2,0.0,7.0,0.6
1,2,7.0,9.5,1.0
1,2,9.5,19.0,0.0
1,2,19.0,21.5,1.0
1,2,21.5,24.0,0.6
1,3,0.0,7.0,0.6
1,3,7.0,9.5,1.0
1,3,9.5,19.0,0.0
1,3,19.0,21.5,1.0
1,3,21.5,24.0,0.6
1,4,0.0,7.0,0.6
1,4,7.0,9.5,1.0
1,4,9.5,19.0,0.0
1,4,19.0,21.5,1.0
1,4,21.5,24.0,0.6
1,5,0.0,7.0,0.6
1,5,7.0,9.5,1.0
1,5,9.5,19.0,0.0
1,5,19.0,21.5,1.0
1,5,21.5,24.0,0.6
1,6,0.0,7.0,0.6
1,6,7.0,9.5,1.0
1,6,9.5,19.0,0.0
1,6,19.0,21.5,1.0
1,6,21.5,24.0,0.6
1,7,0.0,7.0,0.6
1,7,7.0,9.5,1.0
1,7,9.5,19.0,0.0
1,7,19.0,21.5,1.0
1,7,21.5,24.0,0.6
1,8,0.0,7.0,0.6
1,8,7.0,9.5,1.0
1,8,9.5,19.0,0.0
1,8,19.0,21.5,1.0
1,8,21.5,24.0,0.6
1,9,0.0,7.0,0.6
1,9,7.0,9.5,1.0
1,9,9.5,19.0,0.0
1,9,19.0,21.5,1.0
1,9,21.5,24.0,0.6
1,10,0.0,7.0,0.6
1,10,7.0,9.5,1.0
1,10,9.5,19.0,0.0
1,10,19.0,21.5,1.0
1,10,21.5,24.0,0.6
1,11,0.0,7.0,0.6
1,11,7.0,9.5,1.0
1,11,9.5,19.0,0.0
1,11,19.0,21.5,1.0
1,11,21.5,24.0,0.6
1,12,0.0,7.0,0.6
1,12,7.0,9.5,1.0
1,12,9.5,19.0,0.0
1,12,19.0,21.5,1.0
1,12,21.5,24.0,0.6
1,13,0.0,7.0,0.6
1,13,7.0,9.5,1.0
1,13,9.5,19.0,0.0
1,13,19.0,21.5,1.0
1,13,21.5,24.0,0.6
1,14,0.0,7.0,0.6
1,14,7.0,9.5,1.0
1,14,9.5,19.0,0.0
1,14,19.0,21.5,1.0
1,14,21.5,24.0,0.6
1,15,0.0,7.0,0.6
1,15,7.0,9.5,1.0
1,15,9.5,19.0,0.0
1,15,19.0,21.5,1.0
1,15,21.5,24.0,0.6
1,16,0.0,7.0,0.6
1,16,7.0,9.5,1.0
1,16,9.5,19.0,0.0
1,16,19.0,21.5,1.0
1,16,21.5,24.0,0.6
1,17,0.0,7.0,0.6
1,17,7.0,9.5,1.0
1,17,9.5,19.0,0.0
1,17,19.0,21.5,1.0
1,17,21.5,24.0,0.6
1,18,0.0,7.0,0.6
1,18,7.0,9.5,1.0
1,18,9.5,19.0,0.0
1,18,19.0,21.5,1.0
1,18,21.5,24.0,0.6
1,19,0.0,7.0,0.6
1,19,7.0,9.5,1.0
1,19,9.5,19.0,0.0
1,19,19.0,21.5,1.0
1,19,21.5,24.0,0.6
1,20,0.0,7.0,0.6
1,20,7.0,9.5,1.0
1,20,9.5,19.0,0.0
1,20,19.0,21.5,1.0
1,20,21.5,24.0,0.6
1,21,0.0,7.0,0.6
1,21,7.0,9.5,1.0
1,21,9.5,19.0,0.0
